Gene	Symbol	nTx	tTx	Score	Sign
344148	NCKAP5	uc002ttp.2	uc002ttq.2	3.16630950714464	Mutual exclusion
1756	DMD	uc004dcp.1	uc011mkb.1	1.95346977703881	Mutual exclusion
57716	PRX	uc002onr.2	uc002onq.2	1.89309446776594	Mutual exclusion
55366	LGR4	uc001mrj.3	uc001mrk.3	1.86413299255552	Mutual exclusion
10111	RAD50	uc003kxi.2	uc003kxh.2	1.71564182222065	Mutual exclusion
54869	EPS8L1	uc002qis.3	uc002qiu.2	1.66865826817021	Mutual exclusion
3636	INPPL1	uc001osf.2	uc001osg.2	1.54169722072354	Mutual exclusion
57568	SIPA1L2	uc001hvg.2	uc001hvf.2	1.39623772747482	Mutual exclusion
51599	LSR	uc002nym.2	uc002nyn.2	1.33304459165502	Mutual exclusion
26040	SETBP1	uc010dni.2	uc002lay.2	1.28598894915709	Mutual exclusion
9883	POM121	uc003twj.2	uc010lam.1	1.26082905448738	Mutual exclusion
2060	EPS15	uc001csq.1	uc001csp.3	1.25737686662085	Mutual exclusion
9372	ZFYVE9	uc001cto.2	uc001ctp.2	1.19683606176918	Mutual exclusion
26286	ARFGAP3	uc003bdd.2	uc010gzf.2	1.1895157283886	Mutual exclusion
57658	CALCOCO1	uc001sef.2	uc001seh.2	1.18749991704766	Mutual exclusion
4678	NASP	uc001coj.1	uc001coi.1	1.17993071176426	Mutual exclusion
90826	PRMT10	uc003ilc.2	uc003ilb.2	1.16683105658381	Mutual exclusion
127435	PODN	uc001cuv.2	uc010ons.1	1.11937781327426	Mutual exclusion
51163	DBR1	uc003erv.2	uc003ert.2	1.09557550768215	Mutual exclusion
154796	AMOT	uc004epr.2	uc004eps.2	1.00955209357553	Mutual exclusion
51742	ARID4B	uc001hwq.2	uc001hwr.2	0.995260562540461	Mutual exclusion
79868	ALG13	uc004epi.1	uc011msy.1	0.955225159299424	Mutual exclusion
8828	NRP2	uc002vax.2	uc002vay.2	0.951443902883317	Mutual exclusion
23424	TDRD7	uc004axj.2	uc011luy.1	0.923027556246072	Mutual exclusion
4286	MITF	uc003dob.2	uc003doe.2	0.910257879924575	Mutual exclusion
10844	TUBGCP2	uc001lmg.1	uc010qvd.1	0.907011179290926	Mutual exclusion
6787	NEK4	uc003dfq.3	uc011bej.1	0.903220565393948	Mutual exclusion
6628	SNRPB	uc002wga.1	uc002wfz.1	0.894657395509135	Mutual exclusion
55914	ERBB2IP	uc003juj.1	uc011cqx.1	0.893923336474546	Mutual exclusion
6558	SLC12A2	uc003kus.2	uc010jdg.2	0.863912290692118	Mutual exclusion
55614	KIF16B	uc010gci.1	uc002wpg.1	0.860028198252537	Mutual exclusion
9343	EFTUD2	uc002ihn.2	uc010wje.1	0.854831236941607	Mutual exclusion
91653	BOC	uc003dzz.2	uc003dzy.2	0.840214560888762	Mutual exclusion
60684	C4orf41	uc003ivx.2	uc010isc.2	0.83199142923099	Mutual exclusion
79020	C7orf25	uc003thx.3	uc010kxq.2	0.827723673487858	Mutual exclusion
154141	MBOAT1	uc003ncx.1	uc011dji.1	0.818432915339592	Mutual exclusion
4163	MCC	uc003kqj.3	uc003kql.3	0.816369199912008	Mutual exclusion
3679	ITGA7	uc001shh.2	uc001shg.2	0.815948598073455	Mutual exclusion
57088	PLSCR4	uc003evt.3	uc003evu.3	0.792819534519848	Mutual exclusion
64755	C16orf58	uc002eci.1	uc002ech.1	0.781531496954121	Mutual exclusion
51411	BIN2	uc001ryg.2	uc009zlz.2	0.767846921124849	Mutual exclusion
6299	SALL1	uc010vgs.1	uc010vgr.1	0.765495384343746	Mutual exclusion
