Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
55069	C7orf42	uc003tvl.2	uc003tvk.2	False	False	False	False	False
10253	SPRY2	uc001vlj.2	uc001vli.2	False	False	False	False	False
23265	EXOC7	uc002jqr.2	uc010wsx.1	False	False	True	False	False
23265	EXOC7	uc002jqr.2	uc010wsw.1	False	False	True	True	False
23265	EXOC7	uc002jqr.2	uc002jqs.2	False	False	True	True	False
132660	LIN54	uc003hnx.3	uc010ijv.2	False	False	True	True	False
132660	LIN54	uc003hnx.3	uc010iju.2	False	False	True	True	False
132660	LIN54	uc003hnx.3	uc010ijt.2	False	False	True	True	False
10252	SPRY1	uc003ifa.2	uc003ifb.2	False	False	False	False	False
124935	SLC43A2	uc002fsv.2	uc002fsu.2	False	False	False	False	False
54998	AURKAIP1	uc001afb.1	uc009vkb.1	False	False	False	False	False
54998	AURKAIP1	uc001afb.1	uc001afd.2	False	False	False	False	False
83450	LRRC48	uc002gsb.2	uc010vxd.1	False	False	False	False	False
132320	SCLT1	uc003igp.2	uc003igt.3	False	False	True	True	False
132320	SCLT1	uc003igp.2	uc010iob.1	False	False	True	True	False
83636	C19orf12	uc002nsj.2	uc002nsk.2	False	False	True	False	False
29994	BAZ2B	uc002uao.2	uc002uap.2	False	False	True	True	False
7551	ZNF3	uc003usr.2	uc003usq.2	False	False	False	False	False
23078	KIAA0564	uc001uyj.2	uc001uyk.2	False	True	True	True	False
1159	CKMT1B	uc001zsd.3	uc001zsc.2	False	False	False	False	False
57088	PLSCR4	uc003evt.3	uc003evu.3	False	False	True	True	True
6210	RPS15A	uc002dfi.1	uc002dfh.1	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dta.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dxk.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc002dsw.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc010byw.2	True	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc010vdp.1	True	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc002dsz.2	False	False	False	False	False
55830	GLT8D1	uc003dfk.2	uc003dfm.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqj.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqm.2	True	False	True	False	False
6817	SULT1A1	uc002dql.2	uc002dqk.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqo.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqp.2	False	False	False	False	False
2187	FANCB	uc004cwg.1	uc004cwh.1	False	False	False	False	False
4602	MYB	uc003qfc.2	uc010kgj.2	True	True	True	True	False
4602	MYB	uc003qfc.2	uc003qfo.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc001kyz.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc001kyy.2	False	False	True	True	False
27068	PPA2	uc003hxl.2	uc003hxn.2	False	False	True	False	False
57648	KIAA1522	uc010ohm.1	uc010ohn.1	False	False	True	True	True
51125	GOLGA7	uc003xnu.2	uc003xnw.2	False	False	False	False	False
51126	NAA20	uc002wrp.2	uc002wrq.2	False	False	True	False	False
8528	DDO	uc003puc.2	uc003pud.2	True	False	False	False	False
8520	HAT1	uc002uhi.2	uc002uhj.2	True	False	False	False	False
283635	FAM177A1	uc001wsq.2	uc001wsp.2	False	False	True	True	False
55615	PRR5	uc003bex.1	uc003bfb.1	False	False	True	True	False
57484	RNF150	uc003iio.1	uc010iok.1	True	False	False	False	False
6792	CDKL5	uc004cyn.2	uc004cym.2	False	False	False	False	False
6792	CDKL5	uc004cym.2	uc004cyn.2	False	False	False	False	False
6799	SULT1A2	uc002dqh.1	uc002dqg.1	False	False	False	False	False
56124	PCDHB12	uc003liz.2	uc011dak.1	True	True	True	True	True
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
23516	SLC39A14	uc003xbq.3	uc003xbp.3	False	False	False	False	False
80817	KIAA1712	uc003itr.2	uc010iro.2	False	False	True	True	False
1760	DMPK	uc010xxt.1	uc002pdh.1	False	False	True	True	False
1760	DMPK	uc010xxt.1	uc002pdg.1	False	False	True	True	False
10868	USP20	uc004bys.2	uc004byt.1	False	False	False	False	False
11119	BTN3A1	uc003nhv.2	uc011dkk.1	True	True	False	False	True
11119	BTN3A1	uc003nhv.2	uc010jqj.2	True	True	True	True	True
11118	BTN3A2	uc003nhp.2	uc011dke.1	False	False	True	False	False
11118	BTN3A2	uc011dkd.1	uc011dke.1	True	False	True	False	False
11118	BTN3A2	uc003nhp.2	uc011dkd.1	True	False	False	False	False
283464	GXYLT1	uc001rmt.3	uc001rms.3	False	False	False	False	False
144347	FAM101A	uc001uge.1	uc001ugd.1	False	False	False	False	False
64067	NPAS3	uc001wrt.2	uc001wrv.2	False	False	True	False	False
4734	NEDD4	uc002adl.2	uc002adj.2	True	True	True	True	True
5889	RAD51C	uc002iwu.2	uc002iwt.1	True	True	True	False	False
6535	SLC6A8	uc011myx.1	uc004fib.3	True	False	True	False	False
6535	SLC6A8	uc004fib.3	uc011myx.1	True	False	True	False	False
390	RND3	uc002txg.2	uc002txe.2	False	False	False	False	False
394	ARHGAP5	uc001wrm.2	uc001wro.2	True	True	True	True	True
394	ARHGAP5	uc001wrm.2	uc001wrp.2	True	True	True	True	True
394	ARHGAP5	uc001wrl.2	uc001wrp.2	True	True	True	True	True
201134	CCDC46	uc002jfl.2	uc002jfk.2	False	True	True	True	False
201134	CCDC46	uc002jfl.2	uc002jfm.2	False	False	False	False	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
221545	C6orf136	uc003nqw.3	uc003nqx.3	False	False	True	True	False
114781	BTBD9	uc010jwx.2	uc003ony.3	True	False	True	False	False
114781	BTBD9	uc010jwx.2	uc003ooa.3	False	False	False	False	False
143888	KDELC2	uc001pkj.2	uc001pki.2	False	True	False	False	True
114789	SLC25A25	uc004bte.2	uc004btb.2	True	True	True	True	True
114789	SLC25A25	uc004bte.2	uc004btd.2	True	False	True	True	False
114789	SLC25A25	uc004bte.2	uc004btf.2	True	True	False	True	True
114789	SLC25A25	uc004bte.2	uc004btc.2	True	False	True	True	False
64174	DPEP2	uc002eve.2	uc010cey.2	False	False	False	False	False
5984	RFC4	uc003fqz.2	uc011bsc.1	False	False	False	False	False
97	ACYP1	uc001xrg.2	uc001xrf.2	True	False	True	True	True
92691	TMEM169	uc010zjs.1	uc002vfv.3	False	False	False	False	False
92691	TMEM169	uc010zjs.1	uc002vfw.2	False	False	False	False	False
92691	TMEM169	uc010zjs.1	uc010zjr.1	False	False	False	False	False
92691	TMEM169	uc002vfw.2	uc010zjs.1	False	False	False	False	False
5271	SERPINB8	uc002lju.2	uc002ljv.2	False	False	False	False	False
29767	TMOD2	uc002abk.2	uc002abl.3	True	False	False	False	False
29767	TMOD2	uc002abl.3	uc002abk.2	True	False	False	False	False
29760	BLNK	uc001kls.3	uc001klx.3	False	False	True	True	True
29763	PACSIN3	uc001ndx.2	uc001ndy.2	False	False	False	False	False
29763	PACSIN3	uc001ndy.2	uc001ndx.2	False	False	False	False	False
1175	AP2S1	uc002pft.1	uc002pfu.1	False	False	False	False	False
1173	AP2M1	uc003fmw.2	uc003fmy.2	False	False	False	False	False
1173	AP2M1	uc003fmy.2	uc003fmw.2	False	False	False	False	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22872	SEC31A	uc003hni.2	uc011ccm.1	False	False	True	True	False
22872	SEC31A	uc003hni.2	uc003hnf.2	False	False	True	True	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
2687	GGT5	uc002zzo.3	uc002zzr.3	True	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhj.1	False	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhk.1	False	False	False	False	False
95	ACY1	uc003dcp.2	uc003dcq.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxb.2	False	False	False	False	False
10578	GNLY	uc002sql.3	uc010fgp.2	False	False	True	True	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10574	CCT7	uc002siz.2	uc010yri.1	True	False	True	False	False
10575	CCT4	uc002sbo.2	uc010yps.1	True	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
24148	PRPF6	uc002yho.2	uc002yhp.2	False	False	False	False	False
24148	PRPF6	uc002yhp.2	uc002yho.2	False	False	False	False	False
8848	TSC22D1	uc001uzm.3	uc001uzn.3	False	False	True	True	True
8842	PROM1	uc003goq.3	uc003gou.2	False	False	True	False	False
8842	PROM1	uc003goq.3	uc003gos.2	False	False	True	False	False
8842	PROM1	uc003goq.3	uc003gor.2	False	False	True	False	False
8842	PROM1	uc003goq.3	uc003goo.2	False	False	False	False	False
6778	STAT6	uc001sna.2	uc010srd.1	False	True	True	True	False
6776	STAT5A	uc002hzj.1	uc010cyc.1	True	False	False	False	False
6776	STAT5A	uc002hzj.1	uc010cya.1	False	False	False	False	False
92745	SLC38A5	uc010nid.2	uc004djk.3	False	False	True	False	False
5981	RFC1	uc003gty.1	uc003gtx.1	False	False	False	False	False
5981	RFC1	uc003gtx.1	uc003gty.1	False	False	False	False	False
84225	ZMYND15	uc002fyv.2	uc002fyt.2	False	False	False	False	False
84225	ZMYND15	uc002fyv.2	uc002fyu.2	False	False	False	False	False
6633	SNRPD2	uc002pcw.2	uc002pcv.2	False	False	True	True	False
29903	CCDC106	uc002qls.2	uc002qlr.2	False	False	False	False	False
113178	SCAMP4	uc002luj.2	uc002luk.2	False	False	False	False	False
64927	TTC23	uc002bux.2	uc010bor.2	False	False	False	False	False
5051	PAFAH2	uc001bld.3	uc001ble.3	False	False	False	False	False
5052	PRDX1	uc001cob.2	uc001cnz.2	False	False	False	False	False
26022	TMEM98	uc002hhq.2	uc002hhr.2	False	False	False	False	False
