Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
29763	PACSIN3	uc001ndx.2	uc001ndy.2	False	False	False	False	False
1173	AP2M1	uc003fmw.2	uc003fmy.2	False	False	False	False	False
56975	FAM20C	uc003sip.2	uc011jvn.1	False	False	True	True	True
29925	GMPPB	uc003cxk.1	uc003cxl.1	True	False	False	False	False
29108	PYCARD	uc010cak.2	uc002ebm.2	False	False	True	False	False
388677	NOTCH2NL	uc001emn.3	uc001emm.3	False	False	False	False	False
7181	NR2C1	uc001tdm.3	uc001tdo.3	True	False	True	False	False
8548	BLZF1	uc001gfx.1	uc001gfy.2	False	False	False	False	False
8548	BLZF1	uc001gfx.1	uc001gfw.2	False	True	True	True	False
8547	FCN3	uc001boa.2	uc001bob.2	False	False	True	False	False
8547	FCN3	uc001bob.2	uc001boa.2	False	False	True	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
63027	SLC22A23	uc003mvm.3	uc010jno.2	False	False	True	False	False
9254	CACNA2D2	uc003dap.2	uc003daq.2	False	False	False	False	False
84126	ATRIP	uc003ctf.1	uc003ctg.1	False	False	False	False	False
255101	CCDC108	uc002vjl.1	uc002vjn.2	False	False	True	True	False
1213	CLTC	uc002ixq.1	uc002ixp.2	False	False	True	False	False
22876	INPP5F	uc001leo.2	uc001lep.2	False	True	True	True	True
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
22873	DZIP1	uc001vml.2	uc001vmk.2	False	False	True	True	False
8543	LMO4	uc001dmi.2	uc001dmj.2	False	False	False	False	False
8542	APOL1	uc011amq.1	uc003ape.2	False	False	True	False	False
7456	WIPF1	uc002uiz.2	uc002uja.2	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc001xzv.3	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc010auc.2	False	False	False	False	False
23658	LSM5	uc003tct.2	uc011kah.1	True	False	True	False	False
23658	LSM5	uc003tct.2	uc011kag.1	True	False	True	False	False
7458	EIF4H	uc003uae.1	uc003uad.1	False	False	True	False	False
4848	CNOT2	uc009zro.2	uc001svv.2	False	False	False	False	False
4848	CNOT2	uc009zro.2	uc009zrq.2	False	False	False	False	False
65083	NOL6	uc003zsz.2	uc003zta.2	False	False	False	False	False
65083	NOL6	uc003zsz.2	uc010mjv.2	False	False	False	False	False
55337	C19orf66	uc002mmu.3	uc002mmv.3	False	False	True	False	False
55336	FBXL8	uc002erk.1	uc002erj.1	False	False	False	False	False
25895	FAM119B	uc001sqg.2	uc001sqf.2	False	False	True	False	False
25894	PLEKHG4	uc002ess.3	uc002esq.3	False	False	False	False	False
22877	MLXIP	uc001ubq.2	uc001ubt.2	False	False	True	True	False
8031	NCOA4	uc001jit.2	uc010qhd.1	False	False	True	True	False
8528	DDO	uc003puc.2	uc003pud.2	True	False	False	False	False
8520	HAT1	uc002uhi.2	uc002uhj.2	True	False	False	False	False
283635	FAM177A1	uc001wsq.2	uc001wsp.2	False	False	True	True	False
81618	ITM2C	uc002vqz.2	uc002vrb.2	False	False	False	False	False
200172	SLFNL1	uc001cgm.1	uc009vwf.1	False	False	True	False	False
200172	SLFNL1	uc001cgm.1	uc001cgn.1	False	False	True	True	False
79589	RNF128	uc004eml.2	uc004emk.2	True	False	True	True	False
94015	TTYH2	uc002jkc.2	uc002jkd.2	False	False	False	False	False
79823	C2orf34	uc002rum.2	uc002rul.2	False	True	True	False	True
2052	EPHX1	uc001hpk.2	uc001hpl.2	False	False	False	False	False
9400	RECQL5	uc010dgl.2	uc002jpa.3	True	True	True	True	False
9406	ZRANB2	uc001dft.2	uc001dfs.2	False	False	True	True	False
6819	SULT1C2	uc002tdy.2	uc002tdx.2	True	False	True	False	False
6818	SULT1A3	uc002dtb.2	uc002dsz.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dta.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dxi.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc002dxf.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc010byw.2	True	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dsw.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc010vdp.1	True	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc002dxd.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc010bzt.2	True	False	True	True	False
90102	PHLDB2	uc003dyc.2	uc003dyh.2	False	False	True	False	False
90102	PHLDB2	uc003dyc.2	uc003dyd.2	False	False	True	False	False
90102	PHLDB2	uc003dyc.2	uc003dyg.2	True	False	True	False	False
6811	STX5	uc001nvh.2	uc001nvi.2	False	False	True	True	False
6815	STYX	uc001xaa.2	uc010tqy.1	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqp.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqk.2	False	False	False	False	False
6817	SULT1A1	uc002dqk.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqo.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqm.2	True	False	True	False	False
6817	SULT1A1	uc002dql.2	uc002dqj.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxb.2	False	False	False	False	False
10578	GNLY	uc002sql.3	uc010fgp.2	False	False	True	True	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10575	CCT4	uc002sbo.2	uc010yps.1	True	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
5229	PGGT1B	uc003kqw.3	uc010jch.2	True	True	False	False	False
11182	SLC2A6	uc004cee.2	uc004cef.2	False	False	False	False	False
81605	URM1	uc004buv.2	uc011may.1	True	False	True	True	False
3069	HDLBP	uc002waz.2	uc002wba.2	False	False	False	False	False
11184	MAP4K1	uc002oiy.1	uc002oix.1	False	False	True	False	False
79760	GEMIN7	uc002paq.1	uc002pap.1	False	False	False	False	False
91147	TMEM67	uc011lgk.1	uc003yga.3	True	False	False	False	False
79763	ISOC2	uc002qlb.2	uc002qlc.2	True	False	False	False	False
51104	FAM108B1	uc004aim.1	uc004ail.2	False	False	True	False	False
100131187	TSTD1	uc010pjx.1	uc009wtw.2	True	False	False	False	False
100131187	TSTD1	uc010pjx.1	uc001fxh.3	True	False	True	False	False
9778	KIAA0232	uc003gjq.3	uc003gjr.3	False	False	False	False	False
9778	KIAA0232	uc003gjr.3	uc003gjq.3	False	False	False	False	False
152273	FGD5	uc003bzc.2	uc003bzd.2	True	False	True	True	True
9774	BCLAF1	uc003qgx.1	uc011ede.1	False	False	True	True	False
9776	KIAA0652	uc001ncz.2	uc010rgv.1	False	False	True	True	False
10514	MYBBP1A	uc002fxz.3	uc002fyb.3	False	False	True	True	False
285362	SUMF1	uc003bpz.1	uc011ass.1	True	False	False	False	False
8863	PER3	uc001aop.2	uc001aoo.2	False	False	True	True	False
8861	LDB1	uc009xwz.2	uc001kuk.3	False	False	True	False	False
8861	LDB1	uc009xwz.2	uc001kul.3	False	False	True	True	False
9748	SLK	uc001kxp.1	uc001kxo.1	False	False	True	False	False
9748	SLK	uc001kxo.1	uc001kxp.1	False	False	True	False	False
285368	PRRT3	uc003bul.2	uc003bum.2	False	False	True	True	False
7739	ZNF185	uc004fgw.3	uc011myj.1	False	False	True	True	False
7739	ZNF185	uc011myk.1	uc010ntv.1	False	False	True	False	False
8869	ST3GAL5	uc002sqp.1	uc002sqq.1	False	False	True	False	False
5052	PRDX1	uc001cob.2	uc001cnz.2	False	False	False	False	False
26022	TMEM98	uc002hhq.2	uc002hhr.2	False	False	False	False	False
60468	BACH2	uc003pnw.2	uc011eab.1	False	False	False	False	False
10767	HBS1L	uc003qez.2	uc003qfa.2	True	True	True	True	True
10767	HBS1L	uc003qez.2	uc011eda.1	False	False	True	False	False
10768	AHCYL1	uc001dyx.2	uc001dyy.2	False	False	True	True	False
10768	AHCYL1	uc010ovw.1	uc001dyy.2	False	False	False	False	False
10768	AHCYL1	uc001dyx.2	uc010ovw.1	False	False	True	True	False
54996	MOSC2	uc001hmq.2	uc001hmr.2	False	False	False	False	False
54998	AURKAIP1	uc001afb.1	uc009vkb.1	False	False	False	False	False
83451	ABHD11	uc003tzb.2	uc003tzc.2	False	False	False	False	False
132320	SCLT1	uc003igp.2	uc003igt.3	False	False	True	True	False
132320	SCLT1	uc003igp.2	uc010iob.1	False	False	True	True	False
285172	FAM126B	uc002uwv.2	uc002uws.3	False	False	False	False	False
23770	FKBP8	uc002njj.1	uc002njl.1	False	False	False	False	False
23774	BRD1	uc011arh.1	uc003biu.3	True	False	True	True	False
6397	SEC14L1	uc010wth.1	uc002jto.2	False	False	False	False	False
