Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
1213	CLTC	uc002ixq.1	uc002ixp.2	False	False	True	False	False
22876	INPP5F	uc001lep.2	uc001len.3	False	True	True	True	True
22872	SEC31A	uc003hnf.2	uc011ccn.1	False	False	True	True	False
2687	GGT5	uc002zzo.3	uc002zzr.3	True	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhk.1	False	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhj.1	False	False	False	False	False
95	ACY1	uc003dcp.2	uc003dcq.2	False	False	False	False	False
97	ACYP1	uc001xrg.2	uc001xrf.2	True	False	True	True	True
64093	SMOC1	uc001xlt.1	uc001xls.1	False	False	False	False	False
9197	SLC33A1	uc003fao.1	uc003fan.3	False	False	False	False	False
80381	CD276	uc002avv.1	uc002avw.1	True	True	True	True	True
5564	PRKAB1	uc001txg.2	uc009zwu.2	False	False	False	False	False
122953	JDP2	uc001xrq.2	uc010tvc.1	False	False	True	True	False
122953	JDP2	uc001xrq.2	uc010tvb.1	False	False	True	True	False
122953	JDP2	uc001xrq.2	uc010asj.2	False	False	True	True	False
6235	RPS29	uc001wwm.2	uc001wwl.2	False	False	False	False	False
6236	RRAD	uc002eqo.2	uc002eqn.2	False	False	False	False	False
100131187	TSTD1	uc010pjx.1	uc009wtw.2	True	False	False	False	False
100131187	TSTD1	uc010pjx.1	uc001fxh.3	True	False	True	False	False
10518	CIB2	uc002bdc.1	uc002bdb.1	True	False	True	False	False
9774	BCLAF1	uc003qgy.1	uc011ede.1	False	False	True	True	False
285362	SUMF1	uc003bpz.1	uc011ass.1	True	False	False	False	False
57415	C3orf14	uc003dlg.2	uc003dlf.2	False	False	False	False	False
84108	PCGF6	uc001kwt.2	uc001kwu.2	True	False	True	False	False
22818	COPZ1	uc001sfs.1	uc001sft.2	False	False	True	False	False
5051	PAFAH2	uc001bld.3	uc001ble.3	False	False	False	False	False
5052	PRDX1	uc001cob.2	uc001cnz.2	False	False	False	False	False
10767	HBS1L	uc003qez.2	uc011eda.1	False	False	True	False	False
10768	AHCYL1	uc010ovw.1	uc001dyy.2	False	False	False	False	False
54996	MOSC2	uc001hmq.2	uc001hmr.2	False	False	False	False	False
54996	MOSC2	uc001hmr.2	uc001hmq.2	False	False	False	False	False
11132	CAPN10	uc002vzm.1	uc002vzq.1	False	True	True	False	True
284361	C19orf63	uc002psl.2	uc002psk.2	False	False	True	True	True
8736	MYOM1	uc002klq.2	uc002klp.2	True	False	True	True	False
8737	RIPK1	uc003mux.2	uc011dhs.1	True	True	False	False	False
93611	FBXO44	uc001asm.2	uc001asl.2	False	False	False	False	False
151194	FAM119A	uc002vce.2	uc002vcg.3	False	False	True	False	False
5866	RAB3IL1	uc001nso.2	uc001nsp.2	False	False	True	True	False
5862	RAB2A	uc003xud.1	uc011lef.1	True	False	False	False	True
56666	PANX2	uc003bjn.3	uc003bjp.3	False	True	True	True	False
56848	SPHK2	uc002pjv.2	uc010xzt.1	False	False	True	True	False
2180	ACSL1	uc003iwu.1	uc003iwt.1	False	False	False	False	False
2184	FAH	uc002bfm.1	uc002bfj.2	False	False	False	False	False
2184	FAH	uc002bfm.1	uc002bfk.1	False	False	False	False	False
4601	MXI1	uc001kza.2	uc001kyz.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc001kyy.2	False	False	True	True	False
6210	RPS15A	uc002dfi.1	uc002dfh.1	False	False	False	False	False
6817	SULT1A1	uc002dqk.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqp.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dqk.2	uc002dqp.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqk.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxb.2	False	False	False	False	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10575	CCT4	uc002sbo.2	uc010yps.1	True	False	False	False	False
24146	CLDN15	uc003uyg.1	uc003uyh.1	False	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
7673	ZNF222	uc002oye.2	uc002oyc.2	False	False	True	False	False
26064	RAI14	uc011cok.1	uc010iur.2	True	False	True	True	False
26064	RAI14	uc011cok.1	uc003jir.2	False	False	True	True	False
2539	G6PD	uc004fly.1	uc004flx.1	False	False	True	False	False
2534	FYN	uc003pvi.2	uc003pvj.2	True	False	False	True	False
2534	FYN	uc003pvi.2	uc003pvk.2	True	False	False	True	False
22837	COBLL1	uc002ucq.2	uc002uct.2	False	True	True	True	False
285172	FAM126B	uc002uwv.2	uc002uws.3	False	False	False	False	False
83636	C19orf12	uc002nsj.2	uc002nsk.2	False	False	True	False	False
23078	KIAA0564	uc001uyj.2	uc001uyk.2	False	True	True	True	False
25897	RNF19A	uc003yjk.1	uc003yjj.1	False	False	False	False	False
8528	DDO	uc003puc.2	uc003pud.2	True	False	False	False	False
8520	HAT1	uc002uhi.2	uc002uhj.2	True	False	False	False	False
283635	FAM177A1	uc001wsq.2	uc001wsp.2	False	False	True	True	False
55336	FBXL8	uc002erk.1	uc002erj.1	False	False	False	False	False
5889	RAD51C	uc002iwu.2	uc002iwt.1	True	True	True	False	False
2317	FLNB	uc003djl.2	uc010hnf.2	True	True	True	True	True
11282	MGAT4B	uc003mks.2	uc003mkr.2	False	False	True	True	False
4628	MYH10	uc002gll.2	uc002glm.2	False	False	True	False	False
57669	EPB41L5	uc010flk.2	uc002tmg.2	False	False	True	True	False
57669	EPB41L5	uc010flk.2	uc010fll.2	False	False	True	True	False
51107	APH1A	uc001etz.1	uc001ety.1	False	False	True	False	False
51107	APH1A	uc001etz.1	uc010pbx.1	False	True	True	False	False
8711	TNK1	uc002ggj.3	uc002ggi.3	True	False	False	False	False
8714	ABCC3	uc002isl.2	uc002isk.3	True	True	True	True	False
5618	PRLR	uc003jjl.3	uc003jjm.2	True	True	False	False	False
55101	ATP5SL	uc002oqw.1	uc002oqz.1	False	False	True	False	False
55108	BSDC1	uc001bvh.3	uc010ohi.1	False	False	True	True	False
55069	C7orf42	uc003tvl.2	uc003tvk.2	False	False	False	False	False
23265	EXOC7	uc010wsx.1	uc002jqq.2	False	False	True	True	False
93621	MRFAP1	uc003gjh.1	uc003gjg.1	False	False	False	False	False
93621	MRFAP1	uc003gjg.1	uc003gjh.1	False	False	False	False	False
51309	ARMCX1	uc004ehw.2	uc004ehv.2	False	False	False	False	False
51309	ARMCX1	uc004ehv.2	uc004ehw.2	False	False	False	False	False
64771	C6orf106	uc003ojr.2	uc003ojs.2	False	False	False	False	False
8812	CCNK	uc001ygi.3	uc001ygg.3	True	False	True	True	True
51160	VPS28	uc003zcs.1	uc003zct.1	False	False	True	True	False
51166	AADAT	uc003isr.2	uc003iss.2	False	False	False	False	False
51166	AADAT	uc003isr.2	uc003ist.2	False	False	True	False	False
348180	CTU2	uc002flm.2	uc010cia.2	False	False	True	False	False
10458	BAIAP2	uc002jzd.2	uc002jzf.2	False	False	True	False	False
10458	BAIAP2	uc002jzd.2	uc002jyz.3	False	False	True	False	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
