Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
8545	CGGBP1	uc003dqs.2	uc003dqt.2	False	False	False	False	False
7453	WARS	uc001yhl.1	uc001yhf.1	False	False	False	False	False
55337	C19orf66	uc002mmu.3	uc002mmw.3	False	False	True	True	False
64067	NPAS3	uc001wrt.2	uc001wrv.2	False	False	True	False	False
5889	RAD51C	uc002iwu.2	uc002iwt.1	True	True	True	False	False
113178	SCAMP4	uc002luj.2	uc002luk.2	False	False	False	False	False
64927	TTC23	uc002bus.2	uc002bux.2	False	False	False	False	False
5050	PAFAH1B3	uc002otg.2	uc010xwj.1	False	False	False	False	False
5050	PAFAH1B3	uc002otg.2	uc010xwi.1	False	False	False	False	False
5052	PRDX1	uc001cob.2	uc001cnz.2	False	False	False	False	False
26022	TMEM98	uc002hhq.2	uc002hhr.2	False	False	False	False	False
10768	AHCYL1	uc001dyx.2	uc010ovw.1	False	False	True	True	False
131601	TPRA1	uc003ejn.2	uc003ejl.2	False	False	False	False	False
54996	MOSC2	uc001hmq.2	uc009xdx.2	False	False	True	False	False
5564	PRKAB1	uc001txg.2	uc009zwu.2	False	False	False	False	False
10560	SLC19A2	uc001gge.3	uc001ggf.3	False	False	True	False	False
122953	JDP2	uc001xrq.2	uc010asj.2	False	False	True	True	False
6235	RPS29	uc001wwm.2	uc001wwl.2	False	False	False	False	False
6236	RRAD	uc002eqo.2	uc002eqn.2	False	False	False	False	False
100131187	TSTD1	uc009wtw.2	uc001fxh.3	True	False	True	False	False
9778	KIAA0232	uc003gjq.3	uc003gjr.3	False	False	False	False	False
152273	FGD5	uc003bzc.2	uc003bzd.2	True	False	True	True	True
9774	BCLAF1	uc003qgx.1	uc011ede.1	False	False	True	True	False
24146	CLDN15	uc003uyg.1	uc003uyh.1	False	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
24148	PRPF6	uc002yho.2	uc002yhp.2	False	False	False	False	False
8848	TSC22D1	uc001uzm.3	uc001uzn.3	False	False	True	True	True
8840	WISP1	uc003yub.2	uc010meb.2	False	True	True	True	True
8842	PROM1	uc003goq.3	uc003gou.2	False	False	True	False	False
8842	PROM1	uc003goq.3	uc003gos.2	False	False	True	False	False
23516	SLC39A14	uc003xbq.3	uc011kzh.1	False	False	False	False	False
124446	TMEM219	uc010bzk.1	uc002duy.2	False	False	False	False	False
169611	OLFML2A	uc004bov.2	uc004bow.2	False	False	True	True	False
1760	DMPK	uc002pdf.1	uc002pdh.1	False	False	True	False	False
1760	DMPK	uc002pdd.1	uc002pdg.1	True	False	True	True	False
23265	EXOC7	uc002jqr.2	uc010wsx.1	False	False	True	False	False
23265	EXOC7	uc002jqr.2	uc010wsw.1	False	False	True	True	False
132660	LIN54	uc003hnx.3	uc010ijv.2	False	False	True	True	False
132660	LIN54	uc003hnz.3	uc010ijv.2	False	False	False	False	False
132660	LIN54	uc003hnz.3	uc010iju.2	False	False	True	True	False
57476	GRAMD1B	uc010rzx.1	uc001pyx.2	False	False	True	True	False
57476	GRAMD1B	uc010rzx.1	uc001pyy.2	False	True	True	True	False
6778	STAT6	uc001sna.2	uc010srd.1	False	True	True	True	False
6778	STAT6	uc001sna.2	uc009zpe.2	False	False	False	False	False
6776	STAT5A	uc002hzj.1	uc010cyc.1	True	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jld.2	False	False	False	False	False
26027	ACOT11	uc001cxl.1	uc001cxm.1	True	False	True	False	False
1213	CLTC	uc002ixq.1	uc002ixp.2	False	False	True	False	False
1213	CLTC	uc002ixp.2	uc002ixq.1	False	False	True	False	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22876	INPP5F	uc001leo.2	uc001lep.2	False	True	True	True	True
22872	SEC31A	uc003hnk.2	uc011ccm.1	False	False	True	True	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
84698	CAPS2	uc001sxm.3	uc001sxi.3	True	False	False	False	False
2687	GGT5	uc002zzo.3	uc002zzr.3	True	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhj.1	False	False	False	False	False
55646	LYAR	uc003ght.2	uc011bvy.1	False	False	False	False	False
5862	RAB2A	uc003xud.1	uc011lef.1	True	False	False	False	True
56848	SPHK2	uc002pjv.2	uc002pjr.2	False	False	True	True	False
56848	SPHK2	uc002pjv.2	uc002pjs.2	False	False	True	True	False
2182	ACSL4	uc004eoj.2	uc004eok.2	False	False	False	False	False
2182	ACSL4	uc004eok.2	uc004eoj.2	False	False	False	False	False
2180	ACSL1	uc003iwu.1	uc003iwt.1	False	False	False	False	False
4601	MXI1	uc001kza.2	uc001kyz.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc001kyy.2	False	False	True	True	False
57648	KIAA1522	uc010ohm.1	uc010ohn.1	False	False	True	True	True
57648	KIAA1522	uc010ohm.1	uc001bvu.1	False	False	True	True	True
114781	BTBD9	uc010jwx.2	uc003ony.3	True	False	True	False	False
114789	SLC25A25	uc004bte.2	uc004btb.2	True	True	True	True	True
114789	SLC25A25	uc004bte.2	uc004btf.2	True	True	False	True	True
64174	DPEP2	uc002eve.2	uc010cey.2	False	False	False	False	False
28996	HIPK2	uc003vvf.3	uc003vvd.3	False	False	False	False	False
28991	COMMD5	uc003zem.2	uc003zeo.3	False	False	False	False	False
51263	MRPL30	uc002szv.2	uc002szu.2	False	False	False	False	False
146542	ZNF688	uc002dys.2	uc002dyt.2	False	True	True	True	True
55615	PRR5	uc003bex.1	uc003bew.1	False	False	True	False	False
9202	ZMYM4	uc001byt.2	uc001byu.2	False	False	True	True	False
153733	CCDC112	uc003kqz.2	uc003kqy.2	False	False	True	True	False
253827	MSRB3	uc001ssm.2	uc001ssn.2	False	False	True	True	False
26065	LSM14A	uc002nvb.3	uc002nva.3	False	False	True	True	False
26064	RAI14	uc003jir.2	uc010iur.2	True	False	True	False	False
26064	RAI14	uc010iur.2	uc011cok.1	True	False	True	True	False
2539	G6PD	uc004flx.1	uc004fly.1	False	False	True	False	False
2532	DARC	uc001fto.2	uc001ftp.3	False	False	True	False	False
2530	FUT8	uc001xip.2	uc001xis.2	True	False	False	True	False
2530	FUT8	uc001xip.2	uc001xio.2	False	False	False	False	False
5073	PARN	uc010uzd.1	uc010uze.1	False	False	False	False	False
22832	KIAA1009	uc010kbp.2	uc003pkj.3	False	False	True	True	False
55787	TXLNG	uc004cxq.1	uc010ney.1	False	False	True	True	False
55783	FTSJD1	uc010cga.2	uc002ezz.3	False	False	False	False	False
55783	FTSJD1	uc002ezy.3	uc002ezz.3	False	False	False	False	False
10978	CLP1	uc001nkw.2	uc010rjw.1	False	False	False	False	False
9948	WDR1	uc003gmf.2	uc003gmg.2	True	True	False	False	False
8520	HAT1	uc002uhi.2	uc002uhj.2	True	False	False	False	False
8525	DGKZ	uc001ncm.2	uc010rgs.1	False	True	False	False	False
283635	FAM177A1	uc001wsq.2	uc001wsp.2	False	False	True	True	False
51100	SH3GLB1	uc001dlw.2	uc001dlx.2	False	False	False	False	False
63901	FAM111A	uc001nnp.2	uc010rkp.1	False	False	False	False	False
51109	RDH11	uc001xjv.3	uc001xjw.3	True	False	False	False	False
51109	RDH11	uc001xjv.3	uc001xjx.3	True	False	False	False	False
153129	SLC38A9	uc003jqf.2	uc003jqd.2	False	False	True	True	False
153129	SLC38A9	uc003jqf.2	uc010ivx.2	False	False	True	True	False
439921	MXRA7	uc002jsl.2	uc002jsm.2	False	False	True	True	False
178	AGL	uc001dsi.1	uc001dsl.1	False	False	False	False	False
178	AGL	uc001dsi.1	uc001dsk.1	False	False	False	False	False
178	AGL	uc001dsi.1	uc001dsn.1	False	False	True	True	False
80108	ZFP2	uc003mjn.1	uc010jkx.1	False	False	False	False	False
256356	GK5	uc003euq.1	uc003eup.1	True	True	True	False	False
57085	AGTRAP	uc001asw.2	uc001asx.2	False	True	True	True	True
10395	DLC1	uc003wwk.1	uc011kxx.1	False	True	True	False	False
10395	DLC1	uc003wwk.1	uc003wwl.1	False	False	True	False	False
11132	CAPN10	uc002vzk.1	uc002vzm.1	True	True	True	True	True
11138	TBC1D8	uc010fiv.2	uc002tau.3	False	True	False	False	False
79726	WDR59	uc002fdh.1	uc002fdf.1	True	True	True	True	True
79726	WDR59	uc002fdh.1	uc002fdi.2	False	False	True	True	False
79726	WDR59	uc002fdg.1	uc002fdf.1	False	False	True	True	True
91452	ACBD5	uc010qdp.1	uc001itq.2	True	True	False	True	False
284361	C19orf63	uc002psl.2	uc002psk.2	False	False	True	True	True
8737	RIPK1	uc003mux.2	uc011dhs.1	True	True	False	False	False
8732	RNGTT	uc003pmr.2	uc003pms.2	False	False	False	False	False
4192	MDK	uc001ncp.2	uc001nco.2	False	False	False	False	False
4192	MDK	uc001ncp.2	uc001ncs.2	False	False	False	False	False
197259	MLKL	uc002fdb.2	uc002fdc.2	True	True	True	True	True
54930	HAUS4	uc001wht.2	uc001whu.2	False	False	False	False	False
54930	HAUS4	uc001wht.2	uc001whp.2	False	False	False	False	False
54930	HAUS4	uc001whr.2	uc001whp.2	False	False	False	False	False
1645	AKR1C1	uc001ihq.2	uc001iho.2	False	False	False	False	False
158866	ZDHHC15	uc004ecg.2	uc004ech.2	False	False	False	False	False
158866	ZDHHC15	uc004ecg.2	uc004eci.2	False	True	True	True	True
285343	C3orf23	uc003cnc.3	uc003cnb.3	False	False	False	False	False
285343	C3orf23	uc003cne.3	uc003cnb.3	False	True	True	True	False
285343	C3orf23	uc010him.2	uc003cnb.3	False	True	True	True	False
25771	TBC1D22A	uc003bib.2	uc003bie.2	True	False	True	True	False
25778	DSTYK	uc001hbw.2	uc001hbx.2	True	False	False	True	False
3643	INSR	uc002mgd.1	uc002mge.1	False	False	True	False	False
2551	GABPA	uc002yly.3	uc002ylx.3	False	False	False	False	False
64963	MRPS11	uc002bml.2	uc002bmm.2	False	False	True	True	False
64963	MRPS11	uc002bml.2	uc002bmn.2	False	False	False	False	False
64963	MRPS11	uc002bmn.2	uc002bmm.2	False	False	True	True	False
57231	SNX14	uc003pkt.2	uc003pks.2	False	False	False	False	False
57231	SNX14	uc003pkt.2	uc011dzg.1	False	False	True	False	False
90627	STARD13	uc001uuw.2	uc001uuu.2	False	False	True	False	False
90627	STARD13	uc001uuw.2	uc001uuv.2	False	True	True	False	False
53938	PPIL3	uc002uwh.2	uc002uwi.2	True	True	True	True	False
919	CD247	uc001gej.3	uc001gei.3	False	False	True	False	False
112398	EGLN2	uc002opg.3	uc002opi.2	False	False	False	False	False
112398	EGLN2	uc002opg.3	uc002oph.2	False	False	False	False	False
27430	MAT2B	uc003lzj.2	uc003lzk.2	True	False	True	False	False
79954	NOL10	uc002raq.2	uc010yje.1	False	False	False	False	False
57531	HACE1	uc003pqu.1	uc010kcx.1	True	True	True	True	True
9807	IP6K1	uc003cxm.1	uc011bcv.1	False	False	True	True	False
146223	CMTM4	uc002eqa.2	uc002epz.2	False	False	True	False	False
9113	LATS1	uc003qmu.1	uc003qmw.2	True	True	True	True	False
10367	CBARA1	uc001jtb.1	uc010qjx.1	True	False	True	True	True
9443	MED7	uc010jik.2	uc003lwm.3	False	False	False	False	False
79676	OGFOD2	uc001uea.1	uc001uds.1	False	False	False	True	False
79676	OGFOD2	uc001uea.1	uc001udu.1	False	False	False	True	False
79676	OGFOD2	uc001uea.1	uc001udz.1	False	False	True	False	False
79674	VEPH1	uc003fbk.1	uc003fbj.1	False	False	False	False	False
79674	VEPH1	uc003fbk.1	uc003fbm.2	True	True	True	True	False
79674	VEPH1	uc003fbk.1	uc010hvu.1	True	False	False	False	False
56947	MFF	uc002vot.2	uc002voz.2	False	False	True	True	False
56947	MFF	uc002vox.2	uc002vot.2	False	False	True	True	False
7168	TPM1	uc002alk.2	uc002alh.2	False	False	True	True	False
7162	TPBG	uc010kbj.2	uc003pjo.2	False	False	False	False	False
710	SERPING1	uc001nkp.1	uc001nkr.1	False	False	False	False	False
8079	MLF2	uc001qqp.2	uc010sfi.1	False	False	False	False	False
115557	GEFT	uc009zpy.2	uc001spb.2	False	False	True	True	False
8073	PTP4A2	uc010ogs.1	uc001bty.1	True	False	False	False	False
1119	CHKA	uc001onj.2	uc001onk.2	False	False	True	False	False
26509	MYOF	uc001kin.2	uc001kio.2	True	False	False	False	False
56242	ZNF253	uc002noj.2	uc002nok.2	False	True	False	False	True
64089	SNX16	uc003ycn.2	uc003yco.2	True	False	False	True	True
494115	RBMXL1	uc009wcx.2	uc001dms.2	False	False	False	False	False
3416	IDE	uc001kia.2	uc010qnp.1	True	True	True	True	False
3417	IDH1	uc002vcu.2	uc002vcs.2	False	False	False	False	False
3417	IDH1	uc002vcu.2	uc002vct.2	False	False	False	False	False
22933	SIRT2	uc002oju.1	uc010egi.1	False	False	False	False	False
22937	SCAP	uc003crh.1	uc003crg.2	True	False	True	True	False
5576	PRKAR2A	uc003cux.1	uc010hki.1	False	False	False	False	False
5575	PRKAR1B	uc003siu.1	uc003siw.1	False	False	False	False	False
5573	PRKAR1A	uc002jhi.2	uc002jhg.2	False	False	False	False	False
5570	PKIB	uc003pyz.2	uc003pzc.2	False	False	True	True	False
347902	AMIGO2	uc001rpk.2	uc001rpl.2	False	False	False	False	False
347902	AMIGO2	uc001rpm.2	uc001rpk.2	False	False	False	False	False
79590	MRPL24	uc001fpw.1	uc001fpx.1	False	False	False	False	False
11116	FGFR1OP	uc003qvk.2	uc003qvj.2	False	False	True	True	False
51341	ZBTB7A	uc002lzh.2	uc002lzi.2	False	False	False	False	False
4061	LY6E	uc003yxn.2	uc003yxm.2	False	False	False	False	False
4061	LY6E	uc003yxm.2	uc003yxn.2	False	False	False	False	False
26996	GPR160	uc010hwq.2	uc003fgi.2	False	False	False	False	False
89927	C16orf45	uc002ddo.2	uc002ddp.2	False	False	True	False	False
1398	CRK	uc002fsl.2	uc002fsm.2	True	True	True	True	False
8507	ENC1	uc003kdc.3	uc011css.1	True	False	True	False	True
79573	TTC13	uc001huf.3	uc001hug.3	True	False	False	False	False
81857	MED25	uc002ppw.1	uc010ybe.1	False	False	True	True	False
166968	MIER3	uc003jrd.1	uc003jqz.1	False	False	True	True	False
166968	MIER3	uc003jrd.1	uc003jrc.1	False	False	False	True	False
