Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
27236	ARFIP1	uc003imz.2	uc003ina.2	False	False	True	True	False
6187	RPS2	uc002cno.2	uc002cnn.2	False	False	False	False	False
4292	MLH1	uc003cgl.2	uc011ayb.1	True	True	True	True	False
23383	KIAA0892	uc002nmk.3	uc010ecd.2	False	False	False	False	True
23382	AHCYL2	uc003vov.2	uc011kox.1	False	False	True	True	False
23382	AHCYL2	uc003vov.2	uc003vot.2	False	False	True	True	False
23382	AHCYL2	uc003vov.2	uc011kov.1	False	False	True	True	False
23384	CYTSA	uc002zzw.2	uc002zzv.3	False	False	False	False	False
23384	CYTSA	uc002zzw.2	uc011ajq.1	False	True	False	True	False
23384	CYTSA	uc002zzv.3	uc011ajq.1	False	True	False	True	False
55680	RUFY2	uc001job.2	uc001joc.2	True	True	True	True	True
344148	NCKAP5	uc002ttp.2	uc002ttq.2	False	False	True	True	False
6204	RPS10	uc003ojn.2	uc003ojm.2	False	False	False	False	False
7994	MYST3	uc003xon.3	uc010lxc.2	False	False	False	False	False
55640	FLVCR2	uc010tvd.1	uc001xrs.2	False	False	True	True	False
55640	FLVCR2	uc001xrs.2	uc010tvd.1	False	False	True	True	False
55643	BTBD2	uc002lup.1	uc002luo.1	True	True	True	True	True
55313	CPPED1	uc002dca.3	uc002dcb.3	True	True	False	True	False
221545	C6orf136	uc003nqw.3	uc003nqx.3	False	False	True	True	False
114781	BTBD9	uc010jwx.2	uc003ony.3	True	False	True	False	False
143888	KDELC2	uc001pkj.2	uc001pki.2	False	True	False	False	True
114789	SLC25A25	uc004bte.2	uc004btb.2	True	True	True	True	True
114789	SLC25A25	uc004bte.2	uc004btc.2	True	False	True	True	False
114789	SLC25A25	uc004bte.2	uc004btf.2	True	True	False	True	True
114789	SLC25A25	uc004bte.2	uc004btd.2	True	False	True	True	False
64174	DPEP2	uc002eve.2	uc010cey.2	False	False	False	False	False
28996	HIPK2	uc003vvd.3	uc003vvf.3	False	False	False	False	False
28991	COMMD5	uc003zeo.3	uc003zen.2	False	False	False	False	False
28991	COMMD5	uc003zeo.3	uc010mgf.2	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc010rdf.1	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc010rdh.1	True	True	True	True	False
55293	UEVLD	uc001mot.2	uc001mov.2	True	True	True	True	False
5984	RFC4	uc003fqz.2	uc011bsc.1	False	False	False	False	False
4237	MFAP2	uc001azw.2	uc001azy.2	False	False	False	False	False
4237	MFAP2	uc001azw.2	uc010ocl.1	False	False	False	True	False
5595	MAPK3	uc002dws.2	uc002dwv.3	True	False	False	False	False
89781	HPS4	uc003acl.2	uc003aci.2	False	False	True	False	False
54458	PRR13	uc001sda.3	uc001scz.3	False	False	False	False	False
91607	SLFN11	uc002hjh.3	uc002hjg.3	False	False	False	False	False
91607	SLFN11	uc010ctr.2	uc002hjg.3	False	False	False	False	False
91607	SLFN11	uc002hjh.3	uc010ctr.2	False	False	False	False	False
91607	SLFN11	uc002hjh.3	uc010ctq.2	False	False	False	False	False
91607	SLFN11	uc010ctp.2	uc002hjg.3	False	False	False	False	False
91607	SLFN11	uc010ctr.2	uc002hjh.3	False	False	False	False	False
318	NUDT2	uc003zud.2	uc003zuc.2	False	False	False	False	False
313	AOAH	uc003tfh.3	uc011kba.1	True	False	False	False	False
311	ANXA11	uc001kbu.1	uc001kbs.1	False	False	False	False	False
317	APAF1	uc001tfz.2	uc001tgb.2	True	False	False	False	False
317	APAF1	uc001tfz.2	uc001tga.2	True	False	False	False	False
317	APAF1	uc001tfz.2	uc001tgc.2	True	True	False	False	False
317	APAF1	uc001tfz.2	uc001tfy.2	False	False	False	False	False
22955	SCMH1	uc001cgo.2	uc001cgp.2	True	False	False	False	False
22955	SCMH1	uc001cgs.2	uc001cgp.2	True	False	True	False	False
22955	SCMH1	uc001cgs.2	uc010ojr.1	True	True	True	True	True
22955	SCMH1	uc001cgo.2	uc010ojr.1	True	True	True	True	True
2036	EPB41L1	uc002xex.2	uc002xez.2	False	False	True	True	False
2036	EPB41L1	uc002xex.2	uc002xeu.2	False	False	True	True	False
2036	EPB41L1	uc002xex.2	uc002xew.2	True	True	True	True	False
4849	CNOT3	uc002qdj.1	uc002qdk.1	False	False	False	False	False
10346	TRIM22	uc001mbr.2	uc009yes.2	True	False	False	False	False
80896	NPL	uc001gpq.1	uc009wyb.2	False	False	False	False	False
65979	PHACTR4	uc001bpy.2	uc001bpw.2	False	False	True	True	False
65975	STK33	uc001mgk.1	uc001mgi.1	False	False	False	False	False
81839	VANGL1	uc001efv.1	uc009wgy.1	False	False	True	False	False
1117	CHI3L2	uc001eam.2	uc001ean.2	False	False	False	False	False
1117	CHI3L2	uc001eam.2	uc001eao.2	True	False	True	False	False
348180	CTU2	uc002flm.2	uc010cia.2	False	False	True	False	False
348180	CTU2	uc002flm.2	uc002fln.2	False	False	True	False	False
117157	SH2D1B	uc001gbz.1	uc001gca.1	True	False	False	False	False
57571	CARNS1	uc009yrp.2	uc001olc.3	False	False	True	True	False
79415	C17orf62	uc002kfb.3	uc002kez.2	False	False	False	False	False
79415	C17orf62	uc002kfb.3	uc002kfc.3	False	False	False	False	False
54868	TMEM104	uc010dfx.2	uc002jls.3	False	False	False	False	False
84750	FUT10	uc003xje.2	uc003xjd.2	False	False	False	False	False
84750	FUT10	uc003xje.2	uc003xjh.2	False	False	True	False	False
3455	IFNAR2	uc002yrf.2	uc002yrc.2	False	True	True	False	False
3455	IFNAR2	uc002yrb.2	uc002yrc.2	False	False	False	False	False
858	CAV2	uc003vid.2	uc003vie.2	False	True	False	False	False
653361	NCF1	uc003ubb.2	uc010lbs.1	True	True	True	True	True
55107	ANO1	uc001opj.2	uc001opk.1	False	False	True	True	False
90196	SYS1	uc002xnv.2	uc002xnw.1	False	False	True	False	False
27111	SDCBP2	uc002wev.3	uc002weu.3	False	False	True	True	False
8087	FXR1	uc003fkr.2	uc003fkq.2	False	False	True	True	False
64236	PDLIM2	uc003xby.2	uc003xca.2	False	True	True	True	True
64231	MS4A6A	uc001noq.2	uc009ymv.2	False	False	True	False	False
840	CASP7	uc001laq.2	uc010qsb.1	False	False	True	True	False
840	CASP7	uc001lan.2	uc010qsb.1	False	False	True	True	False
133619	PRRC1	uc003kuk.2	uc003kuj.3	False	False	True	False	False
262	AMD1	uc003puk.1	uc003pul.1	True	False	True	False	False
340547	VSIG1	uc004eno.2	uc011msk.1	True	False	False	False	False
10474	TADA3	uc003bsx.1	uc010hcn.1	False	False	False	False	False
26505	CNNM3	uc002swy.2	uc002swz.2	False	True	False	False	True
6787	NEK4	uc003dfq.3	uc011bej.1	True	False	False	False	False
6520	SLC3A2	uc001nwg.2	uc001nwb.2	True	False	True	True	False
6520	SLC3A2	uc001nwg.2	uc001nwd.2	False	False	True	True	False
81502	HM13	uc002wwe.2	uc002wwd.2	False	False	True	False	False
92399	MRRF	uc010mwa.2	uc004bmd.2	False	False	False	False	False
92399	MRRF	uc010mwa.2	uc004bmb.2	False	False	False	False	False
4781	NFIB	uc003zle.2	uc003zlf.2	False	False	True	True	False
51306	FAM13B	uc003lbz.2	uc003lca.2	False	False	True	True	False
51306	FAM13B	uc003lbz.2	uc003lcb.2	True	False	True	True	False
51306	FAM13B	uc003lcb.2	uc003lca.2	True	False	True	True	False
51307	FAM53C	uc003lcw.2	uc003lcv.2	False	False	False	False	False
5825	ABCD3	uc001dqn.3	uc001dqm.3	True	True	True	False	True
5825	ABCD3	uc001dqn.3	uc009wdr.2	False	False	False	False	True
653509	SFTPA1	uc001kar.2	uc001kap.2	False	False	False	False	False
653509	SFTPA1	uc001kap.2	uc001kaq.2	False	False	False	False	False
653509	SFTPA1	uc001kar.2	uc009xry.2	False	False	True	False	False
653509	SFTPA1	uc001kar.2	uc001kaq.2	False	False	False	False	False
653509	SFTPA1	uc001kap.2	uc009xry.2	False	False	True	False	False
55700	MAP7D1	uc001caa.2	uc001cad.2	False	False	True	True	True
126328	NDUFA11	uc002mdq.1	uc002mdp.1	False	False	True	True	False
2108	ETFA	uc002bbt.2	uc010bkq.1	True	False	False	False	False
117581	TWIST2	uc010zny.1	uc010znx.1	False	False	False	False	False
117583	PARD3B	uc002var.1	uc002vap.1	True	True	True	True	False
4067	LYN	uc003xsl.3	uc003xsk.3	True	False	True	False	False
4067	LYN	uc003xsk.3	uc003xsl.3	True	False	True	False	False
4068	SH2D1A	uc004euf.3	uc004euh.3	False	False	True	False	False
5787	PTPRB	uc001swb.3	uc010stp.1	True	True	False	False	False
5787	PTPRB	uc001swb.3	uc001swc.3	False	True	True	True	True
83693	HSDL1	uc002fhk.2	uc010vnv.1	True	False	False	False	False
83692	CD99L2	uc004fel.2	uc004fen.2	False	False	True	True	False
83692	CD99L2	uc004fel.2	uc011myb.1	False	False	True	True	False
10471	PFDN6	uc010jup.1	uc003odt.1	False	False	False	False	False
10471	PFDN6	uc003odt.1	uc010jup.1	False	False	False	False	False
10479	SLC9A6	uc004ezk.2	uc004ezj.2	False	False	False	False	False
7100	TLR5	uc001hnv.1	uc001hnw.1	False	False	False	False	False
7103	TSPAN8	uc001swj.1	uc009zrt.1	False	False	False	False	False
7103	TSPAN8	uc001swj.1	uc001swk.1	False	False	False	False	False
7106	TSPAN4	uc001lsd.1	uc001lsi.1	False	False	False	False	False
7106	TSPAN4	uc001lsh.1	uc001lsf.1	False	False	False	False	False
7106	TSPAN4	uc001lsd.1	uc001lsh.1	False	False	False	False	False
7106	TSPAN4	uc001lsd.1	uc001lsf.1	False	False	False	False	False
7106	TSPAN4	uc001lsi.1	uc001lsd.1	False	False	False	False	False
7106	TSPAN4	uc001lsh.1	uc001lsd.1	False	False	False	False	False
7106	TSPAN4	uc001lsi.1	uc001lsf.1	False	False	False	False	False
7106	TSPAN4	uc001lsh.1	uc001lsg.1	False	False	False	False	False
7106	TSPAN4	uc001lsh.1	uc001lsi.1	False	False	False	False	False
7108	TM7SF2	uc001oct.2	uc001ocu.2	False	False	True	False	False
5413	SEPT5	uc002zpv.1	uc002zpy.1	False	True	True	True	True
51367	POP5	uc001tys.2	uc001tyt.2	True	False	False	False	False
51364	ZMYND10	uc003dag.1	uc010hll.1	False	False	False	False	False
51365	PLA1A	uc003ecu.2	uc011bjc.1	True	False	True	True	False
51365	PLA1A	uc003ecu.2	uc003ecv.2	True	False	False	False	False
51368	TEX264	uc003dbk.3	uc003dbl.3	False	False	False	False	False
65009	NDRG4	uc002enk.2	uc010vig.1	False	False	True	False	False
65009	NDRG4	uc002enk.2	uc002enp.2	False	False	True	False	False
65009	NDRG4	uc002enk.2	uc002eno.2	False	False	True	False	False
65009	NDRG4	uc002enk.2	uc010cdk.2	False	True	True	False	False
64759	TNS3	uc003tnw.2	uc003tnv.2	False	False	False	False	False
64757	MOSC1	uc001hms.2	uc001hmt.2	True	False	False	False	False
64756	ATPAF1	uc001cqh.2	uc010omg.1	False	False	True	True	False
64755	C16orf58	uc002eci.1	uc002ech.1	False	True	True	True	False
115704	EVI5L	uc002min.2	uc010xjz.1	False	False	False	False	False
4817	NIT1	uc001fxv.1	uc001fxx.1	False	False	False	False	False
4817	NIT1	uc001fxv.1	uc001fxy.1	False	False	False	False	False
220108	FAM124A	uc001vfg.1	uc001vfe.2	False	False	True	True	False
51006	SLC35C2	uc002xrq.2	uc002xrr.2	False	False	False	False	False
29068	ZBTB44	uc001qgb.3	uc001qfz.2	False	False	True	False	False
56603	CYP26B1	uc002sih.1	uc010yrb.1	True	False	False	False	False
56603	CYP26B1	uc002sih.1	uc010yra.1	False	False	True	True	False
8692	HYAL2	uc003czv.2	uc003czu.2	False	False	False	False	False
7298	TYMS	uc010dka.1	uc010dkb.1	True	False	False	False	False
9138	ARHGEF1	uc002orx.2	uc002osa.2	False	False	True	True	False
9138	ARHGEF1	uc002orx.2	uc002ory.2	False	False	False	True	False
10643	IGF2BP3	uc003swf.2	uc003swg.2	True	True	True	True	True
57003	CCDC47	uc002jbs.3	uc002jbt.2	False	False	True	True	False
7702	ZNF143	uc001mhr.2	uc010rby.1	True	False	False	False	False
6296	ACSM3	uc002dhr.2	uc002dhq.2	True	True	True	True	False
83861	RSPH3	uc003qrx.2	uc010kju.2	False	False	True	True	False
1687	DFNA5	uc010kus.1	uc003swz.2	False	False	False	False	False
10397	NDRG1	uc003yug.2	uc010mee.2	False	False	True	False	False
22808	MRAS	uc003esi.3	uc011bmj.1	True	False	True	False	True
22808	MRAS	uc003esi.3	uc003esh.3	False	False	False	False	False
151306	GPBAR1	uc010zjw.1	uc010zjy.1	False	False	False	False	False
151306	GPBAR1	uc010zjw.1	uc010zjx.1	False	False	False	False	False
3977	LIFR	uc003jli.2	uc010ive.1	False	False	False	False	False
84981	C17orf91	uc002ftf.2	uc002ftg.2	False	False	False	False	False
6938	TCF12	uc002aed.2	uc002aeb.2	False	False	True	True	False
1912	PHC2	uc001bxf.1	uc001bxe.1	True	True	True	True	True
57695	USP37	uc010fvs.1	uc010zkf.1	False	False	False	False	False
57695	USP37	uc010fvs.1	uc002vig.2	False	False	True	False	False
4248	MGAT3	uc010gxy.2	uc003axv.3	False	False	False	False	False
23774	BRD1	uc011arh.1	uc003biu.3	True	False	True	True	False
6397	SEC14L1	uc010wth.1	uc010wti.1	False	False	False	False	False
6397	SEC14L1	uc010wth.1	uc002jto.2	False	False	False	False	False
6397	SEC14L1	uc010wth.1	uc002jtm.2	False	False	False	False	False
57706	DENND1A	uc004bnz.1	uc004bob.1	False	False	True	True	False
