Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
221545	C6orf136	uc003nqw.3	uc003nqx.3	False	False	True	True	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
114781	BTBD9	uc010jwx.2	uc003ony.3	True	False	True	False	False
114781	BTBD9	uc010jwx.2	uc003ooa.3	False	False	False	False	False
143888	KDELC2	uc001pkj.2	uc001pki.2	False	True	False	False	True
114789	SLC25A25	uc004bte.2	uc004btb.2	True	True	True	True	True
114789	SLC25A25	uc004bte.2	uc004btf.2	True	True	False	True	True
114789	SLC25A25	uc004bte.2	uc004btc.2	True	False	True	True	False
64174	DPEP2	uc002eve.2	uc010cey.2	False	False	False	False	False
28996	HIPK2	uc003vvf.3	uc003vvd.3	False	False	False	False	False
28991	COMMD5	uc003zem.2	uc003zeo.3	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc010rdh.1	True	True	True	True	False
55293	UEVLD	uc001mot.2	uc010rdf.1	False	False	False	False	False
55291	SAPS3	uc009ysh.2	uc001onu.2	False	False	True	True	False
55297	CCDC91	uc001riq.2	uc001rio.2	False	False	True	True	False
51263	MRPL30	uc002szv.2	uc002szu.2	False	False	False	False	False
5984	RFC4	uc003fqz.2	uc011bsc.1	False	False	False	False	False
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
260293	CYP4X1	uc001cqs.2	uc001cqt.2	True	False	False	False	False
271	AMPD2	uc001dyb.1	uc001dyd.1	False	False	True	True	False
275	AMT	uc003cww.2	uc011bcq.1	True	False	False	False	False
55839	CENPN	uc002ffx.2	uc010vnl.1	False	False	False	True	False
55839	CENPN	uc002ffx.2	uc010vnm.1	False	False	False	False	False
55839	CENPN	uc002ffx.2	uc002ffw.3	False	False	True	True	False
254013	C12orf72	uc001rkm.2	uc009zjr.2	False	False	False	False	False
254013	C12orf72	uc001rkm.2	uc001rkl.2	False	False	False	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
81853	TMEM14B	uc010jor.2	uc003mzk.3	False	False	False	False	False
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
9529	BAG5	uc001ynj.1	uc001ynh.1	False	False	True	True	False
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jld.2	False	False	False	False	False
84126	ATRIP	uc003ctf.1	uc003ctg.1	False	False	False	False	False
26027	ACOT11	uc001cxl.1	uc001cxm.1	True	False	True	False	False
22876	INPP5F	uc001leo.2	uc001lep.2	False	True	True	True	True
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22876	INPP5F	uc001lep.2	uc001leo.2	False	True	True	True	True
56975	FAM20C	uc003sip.2	uc011jvn.1	False	False	True	True	True
56975	FAM20C	uc011jvn.1	uc003sip.2	False	False	True	True	True
29925	GMPPB	uc003cxk.1	uc003cxl.1	True	False	False	False	False
388677	NOTCH2NL	uc001emn.3	uc001emm.3	False	False	False	False	False
29102	RNASEN	uc003jhg.2	uc003jhh.2	False	False	True	True	False
91687	CENPL	uc001gjf.3	uc001gje.3	False	False	False	False	False
158471	PRUNE2	uc010mpk.2	uc011lsl.1	False	True	True	True	False
8548	BLZF1	uc001gfx.1	uc001gfy.2	False	False	False	False	False
8547	FCN3	uc001boa.2	uc001bob.2	False	False	True	False	False
8543	LMO4	uc001dmi.2	uc001dmj.2	False	False	False	False	False
22872	SEC31A	uc003hnj.2	uc011ccm.1	False	False	True	True	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
2686	GGT7	uc002xay.2	uc002xba.1	True	False	True	True	False
2687	GGT5	uc002zzo.3	uc002zzr.3	True	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhk.1	False	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhj.1	False	False	False	False	False
91	ACVR1B	uc001rzn.2	uc001rzm.2	True	False	True	False	False
95	ACY1	uc003dcp.2	uc003dcq.2	False	False	False	False	False
83478	ARHGAP24	uc003hpm.2	uc003hpl.2	False	False	True	False	True
83478	ARHGAP24	uc003hpm.2	uc003hpk.2	True	True	True	True	True
83475	DOHH	uc010xhl.1	uc002lxs.2	False	False	False	False	False
29767	TMOD2	uc002abk.2	uc002abl.3	True	False	False	False	False
29763	PACSIN3	uc001ndx.2	uc001ndy.2	False	False	False	False	False
29763	PACSIN3	uc001ndy.2	uc001ndx.2	False	False	False	False	False
1175	AP2S1	uc002pft.1	uc002pfu.1	False	False	False	False	False
1173	AP2M1	uc003fmw.2	uc003fmy.2	False	False	False	False	False
23507	LRRC8B	uc001dni.2	uc001dnj.2	False	False	False	False	False
64067	NPAS3	uc001wrt.2	uc001wrv.2	False	False	True	False	False
64067	NPAS3	uc001wrv.2	uc001wrt.2	False	False	True	False	False
4734	NEDD4	uc002adl.2	uc002adj.2	True	True	True	True	True
5889	RAD51C	uc002iwu.2	uc002iwt.1	True	True	True	False	False
