Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
23078	KIAA0564	uc001uyj.2	uc001uyk.2	False	True	True	True	False
25897	RNF19A	uc003yjk.1	uc003yjj.1	False	False	False	False	False
25896	INTS7	uc001hiw.1	uc010pta.1	False	False	False	False	False
25896	INTS7	uc001hiw.1	uc001hiy.1	False	False	False	False	False
25894	PLEKHG4	uc002ess.3	uc010ceg.2	False	False	False	True	False
22877	MLXIP	uc001ubq.2	uc001ubt.2	False	False	True	True	False
8528	DDO	uc003puc.2	uc003pud.2	True	False	False	False	False
8520	HAT1	uc002uhi.2	uc002uhj.2	True	False	False	False	False
65083	NOL6	uc003zsz.2	uc010mjv.2	False	False	False	False	False
55336	FBXL8	uc002erk.1	uc002erj.1	False	False	False	False	False
144347	FAM101A	uc001uge.1	uc001ugd.1	False	False	False	False	False
64067	NPAS3	uc001wrt.2	uc001wrv.2	False	False	True	False	False
51126	NAA20	uc002wrp.2	uc002wrq.2	False	False	True	False	False
6185	RPN2	uc002xgp.2	uc002xgq.2	False	False	True	False	False
6183	MRPS12	uc002okc.2	uc002okd.2	False	False	False	False	False
6181	RPLP2	uc001lrq.1	uc001lrr.1	False	False	False	False	False
6188	RPS3	uc001owh.2	uc001owi.2	False	False	False	False	False
124935	SLC43A2	uc002fsv.2	uc002fsu.2	False	False	False	False	False
9521	EEF1E1	uc003mxz.2	uc011dic.1	False	True	False	False	False
6778	STAT6	uc001sna.2	uc010srd.1	False	True	True	True	False
6776	STAT5A	uc002hzj.1	uc010cyc.1	True	False	False	False	False
9960	USP3	uc002amf.2	uc010uij.1	True	False	True	False	True
5981	RFC1	uc003gty.1	uc003gtx.1	False	False	False	False	False
5981	RFC1	uc003gtx.1	uc003gty.1	False	False	False	False	False
55812	SPATA7	uc001xwq.2	uc001xwr.2	False	False	False	False	False
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
1213	CLTC	uc002ixq.1	uc002ixp.2	False	False	True	False	False
1213	CLTC	uc002ixp.2	uc002ixq.1	False	False	True	False	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
84698	CAPS2	uc001sxm.3	uc001sxi.3	True	False	False	False	False
55830	GLT8D1	uc003dfl.2	uc003dfj.2	False	False	False	False	False
6815	STYX	uc001xaa.2	uc010tqy.1	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqk.2	False	False	False	False	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10574	CCT7	uc002siz.2	uc010yri.1	True	False	True	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
24141	C20orf103	uc002wni.1	uc010zrc.1	False	False	False	False	False
24148	PRPF6	uc002yho.2	uc002yhp.2	False	False	False	False	False
8848	TSC22D1	uc001uzm.3	uc001uzn.3	False	False	True	True	True
10742	RAI2	uc004cyg.2	uc010nfa.2	False	False	False	False	False
10742	RAI2	uc004cyf.2	uc010nfa.2	False	False	False	False	False
10742	RAI2	uc004cyf.2	uc004cyh.3	False	False	False	False	False
116841	SNAP47	uc001hrf.2	uc001hra.2	False	False	True	True	True
146433	IL34	uc002ezh.1	uc002ezi.1	False	False	False	False	False
84525	HOPX	uc003hbz.2	uc003hcb.2	False	False	False	False	False
84525	HOPX	uc003hbz.2	uc011cad.1	False	False	False	False	False
84529	C15orf41	uc001zjd.2	uc001zje.3	False	False	False	False	False
56889	TM9SF3	uc010qot.1	uc001kmm.3	False	False	False	False	False
