Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
26027	ACOT11	uc001cxl.1	uc001cxm.1	True	False	True	False	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22876	INPP5F	uc001leo.2	uc001lep.2	False	True	True	True	True
22872	SEC31A	uc003hnk.2	uc011ccm.1	False	False	True	True	False
22872	SEC31A	uc003hnl.2	uc003hnh.2	False	False	True	True	False
22872	SEC31A	uc003hng.2	uc011ccm.1	False	False	True	False	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
84698	CAPS2	uc001sxm.3	uc001sxi.3	True	False	False	False	False
2686	GGT7	uc002xay.2	uc002xba.1	True	False	True	True	False
55615	PRR5	uc003bex.1	uc003bfh.1	False	False	True	False	False
55615	PRR5	uc003bex.1	uc003bfb.1	False	False	True	True	False
9202	ZMYM4	uc001byt.2	uc001byu.2	False	False	True	True	False
57484	RNF150	uc003iio.1	uc010iok.1	True	False	False	False	False
6792	CDKL5	uc004cyn.2	uc004cym.2	False	False	False	False	False
6799	SULT1A2	uc002dqh.1	uc002dqg.1	False	False	False	False	False
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
260293	CYP4X1	uc001cqt.2	uc001cqs.2	True	False	False	False	False
271	AMPD2	uc001dyb.1	uc001dyd.1	False	False	True	True	False
274	BIN1	uc002tob.1	uc002toa.1	False	False	True	True	True
274	BIN1	uc002tob.1	uc002tny.1	True	False	True	True	False
275	AMT	uc003cww.2	uc011bcq.1	True	False	False	False	False
55839	CENPN	uc002ffx.2	uc010vnl.1	False	False	False	True	False
55839	CENPN	uc002ffx.2	uc010vnm.1	False	False	False	False	False
55839	CENPN	uc002ffx.2	uc002ffw.3	False	False	True	True	False
254013	C12orf72	uc001rkl.2	uc001rkm.2	False	False	False	False	False
254013	C12orf72	uc001rkm.2	uc009zjr.2	False	False	False	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
63027	SLC22A23	uc003mvm.3	uc003mvo.3	False	False	True	True	True
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
9529	BAG5	uc001ynj.1	uc001ynh.1	False	False	True	True	False
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
221545	C6orf136	uc003nqw.3	uc003nqx.3	False	False	True	True	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
114781	BTBD9	uc010jwx.2	uc003ony.3	True	False	True	False	False
143888	KDELC2	uc001pkj.2	uc001pki.2	False	True	False	False	True
114789	SLC25A25	uc004bte.2	uc004btb.2	True	True	True	True	True
