uc010pwa.1	ENSP00000355632
uc011lka.1	ENSP00000409899
uc001fxx.1	ENSP00000376028
uc001mdw.3	ENSP00000254579
uc004dmr.2	ENSP00000471681
uc001afd.2	ENSP00000368130
uc001gin.2	ENSP00000258324
uc011kyo.1	ENSP00000442155
uc003vvj.2	ENSP00000392702
uc010svm.1	ENSP00000376703
uc001euz.2	ENSP00000358022
uc001mxx.2	ENSP00000263776
uc001kqv.1	ENSP00000410865
uc002dyd.2	ENSP00000416197
uc003eey.2	ENSP00000291458
uc002gcc.1	ENSP00000158771
uc003ngf.1	ENSP00000315936
uc002ezm.2	ENSP00000261776
uc002gpa.2	ENSP00000458062
uc002fao.2	ENSP00000461839
uc010ehk.2	ENSP00000351995
uc003dpt.3	ENSP00000312299
uc002mnd.2	ENSP00000253108
uc010ioj.2	ENSP00000411197
uc004bff.2	ENSP00000311679
uc001ubi.2	ENSP00000267197
uc001qus.2	ENSP00000440496
uc004fee.1	ENSP00000472212
uc010bnp.1	ENSP00000310842
uc002fuj.2	ENSP00000301364
uc003dls.3	ENSP00000295896
uc001vqw.3	ENSP00000364979
uc002fro.2	ENSP00000394386
uc003ial.2	ENSP00000424231
uc011hrd.1	ENSP00000416113
uc002nac.2	ENSP00000446175
uc001ehk.2	ENSP00000337804
uc010dli.2	ENSP00000386115
uc003ccr.2	ENSP00000346867
uc004ckt.2	ENSP00000360660
uc003idm.2	ENSP00000332295
uc003slt.1	ENSP00000343439
uc011ayd.1	ENSP00000443665
uc009xws.2	ENSP00000350445
uc004atv.2	ENSP00000364538
uc001teu.3	ENSP00000404978
uc002ynu.1	ENSP00000286809
uc002oxg.1	ENSP00000221264
uc001kww.1	ENSP00000337705
uc001qhd.1	ENSP00000433681
uc002rsw.3	ENSP00000385995
uc011dti.1	ENSP00000419837
uc011khp.1	ENSP00000411568
uc001cqw.2	ENSP00000360952
uc010zdh.1	ENSP00000424363
uc001kzr.1	ENSP00000358430
uc001mlw.1	ENSP00000379657
uc010uiw.1	ENSP00000392491
uc010wub.1	ENSP00000364010
uc002vie.2	ENSP00000396585
uc002rnr.2	ENSP00000288988
uc001zia.2	ENSP00000380814
uc003ykb.2	ENSP00000428696
uc002yag.2	ENSP00000342300
uc002utu.2	ENSP00000386465
uc002unp.2	ENSP00000387006
uc011kcz.1	ENSP00000378823
uc011icg.1	ENSP00000363794
uc003wjw.2	ENSP00000457628
uc001tfx.2	ENSP00000299157
uc001vfi.2	ENSP00000419984
uc011hlm.1	ENSP00000365817
uc002fpc.2	ENSP00000263347
uc003gdb.2	ENSP00000264750
uc001fdp.1	ENSP00000357589
uc002iix.2	ENSP00000408235
uc002oka.2	ENSP00000221431
uc003psj.2	ENSP00000357973
uc011khe.1	ENSP00000378149
uc003tyr.2	ENSP00000461461
uc011bab.1	ENSP00000397390
uc002eoq.2	ENSP00000299694
uc010svc.1	ENSP00000407964
uc001afj.2	ENSP00000424647
uc003fny.3	ENSP00000404754
uc010uoe.1	ENSP00000261723
uc001lyt.2	ENSP00000432721
uc010yqk.1	ENSP00000439917
uc004ena.2	ENSP00000361544
uc011evc.1	ENSP00000447401
