Symbol	GeneId	tx
?	100133144	uc002bgz.2
?	100134869	uc002bgz.2
?	100133144	uc010unu.1
?	100134869	uc010unu.1
?	100134869	uc002bic.2
?	100133144	uc002bic.2
?	100134869	uc010uoa.1
?	100133144	uc010uoa.1
?	10357	uc010zzl.1
?	10431	uc001jiu.2
?	10431	uc010qhg.1
?	136542	uc011krn.1
?	155060_2	uc003wfu.2
?	155060	uc003wfr.3
?	155060	uc003wft.3
?	155060	uc011kup.1
?	26823	uc011mlh.1
?	280660	uc010nib.1
?	317712	uc010ihw.1
?	340602	uc004dpj.2
?	388795	uc010zub.1
?	390284	uc001qoa.2
?	391343_2	uc010ewh.1
?	391343	uc010ewg.2
?	391714	uc011cjl.1
?	404770	uc010mpu.1
?	441362_2	uc010mgi.2
?	441362	uc003ydl.1
?	442388	uc011lec.1
?	553137	uc003prp.2
?	57714	uc002jye.1
?	57714	uc002jyf.2
?	57714	uc002jyg.1
?	645851	uc010crq.1
?	653553	uc011lsc.1
?	728045	uc011cbi.1
?	728603	uc001jfy.3
FRMPD2L1	728798	uc001jfy.3
?	728603	uc001jfz.3
FRMPD2L1	728798	uc001jfz.3
?	728788	uc010mnx.1
?	729884	uc003hdz.3
?	8225	uc004cpd.1
?	8225	uc004cpe.1
?	8225	uc011mgy.1
?	90288	uc003emg.2
A1CF	29974	uc001jjh.2
A1CF	29974	uc001jji.2
A1CF	29974	uc001jjj.2
A1CF	29974	uc001jjk.1
A1CF	29974	uc009xov.2
A1CF	29974	uc010qhn.1
A1CF	29974	uc010qho.1
A2BP1	54715	uc002cyr.1
A2BP1	54715	uc002cys.2
A2BP1	54715	uc002cyt.2
A2BP1	54715	uc002cyv.1
A2BP1	54715	uc002cyw.2
A2BP1	54715	uc002cyx.2
A2BP1	54715	uc002cyy.2
A2BP1	54715	uc010buf.1
A2BP1	54715	uc010uxz.1
A2BP1	54715	uc010uya.1
A2BP1	54715	uc010uyb.1
A2BP1	54715	uc010uyc.1
A2LD1	87769_2	uc001vor.2
A2LD1	87769_2	uc001vos.2
A2LD1	87769	uc001voq.1
A2M	2	uc001qvj.1
A2M	2	uc001qvk.1
A2M	2	uc009zgk.1
A2ML1	144568	uc001quz.3
A2ML1	144568	uc001qva.1
A2ML1	144568	uc001qvb.1
A2ML1	144568	uc010sgm.1
A4GALT	53947	uc003bdb.2
A4GALT	53947	uc010gzd.2
A4GNT	51146	uc003ers.2
AAA1	404744	uc003tdz.2
AAA1	404744	uc003teb.1
AAA1	404744	uc003tek.3
AAA1	404744	uc010kwo.1
AAA1	404744	uc010kwp.1
AAA1	404744	uc010kwq.1
AAA1	404744	uc010kwx.1
AAA1	404744	uc010kwy.2
AAA1	404744	uc011kaq.1
AAAS	8086	uc001scr.3
AAAS	8086	uc001scs.3
AACS	65985	uc001uhc.2
AACS	65985	uc001uhd.2
AACS	65985	uc009zyg.2
AACS	65985	uc009zyh.2
AACS	65985	uc009zyi.2
AACSL	729522	uc003mjk.2
AACSL	729522	uc011dgk.1
AACSL	729522	uc011dgl.1
AADAC	13	uc003eze.2
AADACL2	344752	uc003ezc.2
AADACL2	344752	uc010hvn.2
AADACL3	126767	uc001aug.1
AADACL3	126767	uc009vnn.1
AADACL4	343066	uc001auf.2
AADAT	51166	uc003isr.2
AADAT	51166	uc003iss.2
AADAT	51166	uc003ist.2
AAGAB	79719	uc002aqk.3
AAGAB	79719	uc002aql.2
AAGAB	79719	uc010uju.1
AAK1	22848_2	uc010fdj.1
AAK1	22848	uc002sfp.2
AAK1	22848	uc010fdk.2
AAK1	22848	uc010fdm.1
AAK1	22848	uc010yqm.1
AAMP	14	uc002vhj.2
AAMP	14	uc002vhk.2
AAMP	14	uc002vhl.2
AAMP	14	uc010fvo.2
AANAT	15	uc002jro.2
AANAT	15	uc010wte.1
AARS	16	uc002eyn.1
AARS	16	uc010vlu.1
AARS2	57505	uc010jza.1
AARSD1	80755	uc002icc.2
AARSD1	80755	uc002icd.2
AARSD1	80755	uc002ice.2
AARSD1	80755	uc002icf.2
AARSD1	80755	uc002icg.2
AARSD1	80755	uc002ich.2
AARSD1	80755	uc010cyu.1
AARSD1	80755	uc010whg.1
AARSD1	80755	uc010whh.1
AASDH	132949	uc003hbn.2
AASDH	132949	uc003hbo.2
AASDH	132949	uc003hbp.2
AASDH	132949	uc003hbq.1
AASDH	132949	uc010ihb.2
AASDH	132949	uc010ihc.2
AASDH	132949	uc011caa.1
AASDH	132949	uc011cab.1
AASDHPPT	60496	uc001pjc.1
AASDHPPT	60496	uc001pjd.1
AASDHPPT	60496	uc010rvn.1
AASS	10157	uc003vka.2
AASS	10157	uc003vkb.2
AASS	10157	uc011knu.1
AASS	10157	uc011knv.1
AASS	10157	uc011knw.1
AATF	26574	uc002hni.2
AATF	26574	uc002hnj.2
AATK	9625	uc010dhz.2
AATK	9625	uc010dia.2
ABAT	18	uc002czc.3
ABAT	18	uc002czd.3
ABAT	18	uc010buh.2
ABAT	18	uc010bui.2
ABCA10	10349	uc002jhz.2
ABCA10	10349	uc010dfa.1
ABCA10	10349	uc010dfb.1
ABCA10	10349	uc010dfc.1
ABCA10	10349	uc010wqs.1
ABCA10	10349	uc010wqt.1
ABCA1	19	uc004bcl.2
ABCA1	19	uc004bcm.2
ABCA11P	79963	uc003gac.2
ZNF721	170960	uc003gac.2
ABCA11P	79963	uc003gad.2
ZNF721	170960	uc003gad.2
ABCA11P	79963	uc003gae.2
ZNF721	170960	uc003gae.2
ABCA11P	79963	uc003gaf.3
ZNF721	170960	uc003gaf.3
ABCA11P	79963	uc003gag.2
ZNF721	170960	uc003gag.2
ABCA11P	79963	uc003gah.1
ZNF721	170960	uc003gah.1
ABCA11P	79963	uc010ibd.1
ZNF721	170960	uc010ibd.1
ABCA11P	79963	uc010ibe.2
ZNF721	170960	uc010ibe.2
ABCA11P	79963	uc011buv.1
ZNF721	170960	uc011buv.1
ABCA12	26154	uc002vev.2
ABCA12	26154	uc002vew.2
ABCA12	26154	uc010zjn.1
ABCA13	154664	uc003top.2
ABCA13	154664	uc003toq.2
ABCA13	154664	uc003tos.1
ABCA13	154664	uc010kyr.2
ABCA13	154664	uc010kys.1
ABCA13	154664	uc010kyt.1
ABCA13	154664	uc010kyu.1
ABCA17P	650655	uc002cqa.1
ABCA17P	650655	uc002cqb.1
ABCA17P	650655	uc002cqc.1
ABCA2	20	uc004ckl.1
ABCA2	20	uc004ckm.1
ABCA2	20	uc004ckn.1
ABCA2	20	uc004cko.1
ABCA2	20	uc010nca.2
ABCA2	20	uc011mel.1
ABCA2	20	uc011mem.1
ABCA3	21	uc002cpy.1
ABCA3	21	uc002cpz.1
