Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
1265	CNN2	uc002lqu.2	uc002lqv.2	False	False	False	True	False
283149	BCL9L	uc001pug.2	uc009zal.2	False	False	True	True	False
8787	RGS9	uc002jfe.2	uc002jfd.2	False	False	False	False	False
8787	RGS9	uc002jfe.2	uc002jfg.2	True	True	True	False	True
5360	PLTP	uc002xqn.1	uc002xqo.1	True	False	False	False	False
114971	PTPMT1	uc001nfs.3	uc001nfv.3	True	True	True	True	True
9821	RB1CC1	uc003xrf.3	uc003xre.3	False	False	False	False	False
9823	ARMCX2	uc004eie.3	uc004eid.2	False	False	False	False	False
9823	ARMCX2	uc004eie.3	uc004eig.3	False	False	False	False	False
9823	ARMCX2	uc004eie.3	uc004eif.3	False	False	False	False	False
65979	PHACTR4	uc001bpw.2	uc001bpy.2	False	False	True	True	False
9671	WSCD2	uc001tms.2	uc001tmt.2	False	False	False	False	False
81839	VANGL1	uc001efv.1	uc009wgy.1	False	False	True	False	False
57571	CARNS1	uc009yrp.2	uc001olc.3	False	False	True	True	False
9150	CTDP1	uc002lnh.1	uc002lni.1	False	False	True	True	False
9158	FIBP	uc001oge.2	uc001ogd.2	False	False	True	False	False
55803	ADAP2	uc002hfx.2	uc002hfy.2	True	False	False	False	False
6272	SORT1	uc001dxm.1	uc010ovi.1	False	False	True	True	False
6272	SORT1	uc010ovi.1	uc001dxm.1	False	False	True	True	False
10813	UTP14A	uc004euz.2	uc011mup.1	False	False	False	False	False
10811	NOXA1	uc004cmv.2	uc004cmu.2	True	False	False	False	False
56259	CTNNBL1	uc010zvw.1	uc002xhj.2	False	True	True	True	True
56256	SERTAD4	uc001hhy.2	uc009xcw.2	False	False	False	False	False
7803	PTP4A1	uc003pel.2	uc003pek.2	False	False	False	False	False
7803	PTP4A1	uc003pek.2	uc003pel.2	False	False	False	False	False
57698	KIAA1598	uc009xyw.2	uc001lcz.3	False	False	True	True	False
200576	PIKFYVE	uc002vcz.2	uc002vcv.2	True	True	True	True	True
150468	CKAP2L	uc002tie.2	uc002tif.2	False	False	True	True	False
80196	RNF34	uc001ual.1	uc001uak.1	False	False	True	False	False
23032	USP33	uc001dht.2	uc001dhu.2	True	False	True	True	False
26502	NARF	uc002kfg.3	uc002kfj.3	False	False	False	True	False
26505	CNNM3	uc002swy.2	uc002swz.2	False	True	False	False	True
6787	NEK4	uc003dfq.3	uc011bej.1	True	False	False	False	False
6520	SLC3A2	uc001nwg.2	uc001nwb.2	True	False	True	True	False
6520	SLC3A2	uc001nwg.2	uc001nwd.2	False	False	True	True	False
6520	SLC3A2	uc001nwg.2	uc001nwf.2	False	False	True	True	False
6522	SLC4A2	uc003wit.3	uc011kve.1	False	False	True	True	False
92399	MRRF	uc010mwa.2	uc004bmd.2	False	False	False	False	False
92399	MRRF	uc010mwa.2	uc004bmb.2	False	False	False	False	False
92399	MRRF	uc004bmb.2	uc010mwa.2	False	False	False	False	False
92399	MRRF	uc010mwa.2	uc011lyr.1	True	False	True	False	False
51306	FAM13B	uc003lbz.2	uc003lca.2	False	False	True	True	False
51306	FAM13B	uc003lbz.2	uc003lcb.2	True	False	True	True	False
51306	FAM13B	uc003lcb.2	uc003lca.2	True	False	True	True	False
7551	ZNF3	uc003usr.2	uc003ust.3	False	False	False	False	False
23078	KIAA0564	uc001uyj.2	uc001uyk.2	False	True	True	True	False
1159	CKMT1B	uc001zsc.2	uc001zsd.3	False	False	False	False	False
25891	PAMR1	uc001mwg.2	uc001mwf.2	False	False	False	False	False
25890	ABI3BP	uc003dun.2	uc003dum.2	True	False	True	True	False
25897	RNF19A	uc003yjk.1	uc003yjj.1	False	False	False	False	False
25896	INTS7	uc001hiw.1	uc010pta.1	False	False	False	False	False
25895	FAM119B	uc001sqg.2	uc001sqf.2	False	False	True	False	False
8036	SHOC2	uc001kzl.3	uc001kzn.2	True	True	False	False	False
8743	TNFSF10	uc003fid.2	uc003fie.2	True	True	True	True	True
79654	HECTD3	uc009vxk.2	uc001cmy.3	True	True	True	False	True
2224	FDPS	uc001fkd.2	uc001fkf.2	False	False	False	False	False
2224	FDPS	uc001fkd.2	uc001fke.2	False	False	False	False	False
79650	C16orf57	uc002emz.2	uc010vib.1	False	False	False	False	False
9869	SETDB1	uc001evu.2	uc001evw.3	False	True	True	True	True
10406	WFDC2	uc002xoo.2	uc002xor.2	False	True	True	True	True
10406	WFDC2	uc002xoo.2	uc002xop.2	False	True	False	False	True
83986	ITFG3	uc002cgf.2	uc002cgh.2	False	False	False	False	False
11142	PKIG	uc002xmi.2	uc002xmh.2	False	False	False	False	False
58500	ZNF250	uc010mgg.2	uc003zer.3	False	False	False	False	False
64425	POLR1E	uc003zzy.1	uc003zzz.1	False	False	True	False	False
55748	CNDP2	uc002llm.1	uc002lln.1	False	False	False	True	False
51043	ZBTB7B	uc009wpa.2	uc001fgk.3	False	False	False	False	False
51043	ZBTB7B	uc010peq.1	uc001fgk.3	True	False	True	True	False
51043	ZBTB7B	uc010peq.1	uc001fgl.3	True	False	True	True	False
55745	MUDENG	uc001xcv.2	uc001xcu.3	False	False	False	False	True
80183	C13orf18	uc010acl.2	uc001vbh.3	False	False	False	False	False
27158	NDOR1	uc004clw.2	uc011mes.1	False	False	False	False	False
27158	NDOR1	uc004clw.2	uc004cly.2	True	False	True	False	False
