Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
57484	RNF150	uc003iio.1	uc010iok.1	True	False	False	False	False
6792	CDKL5	uc004cyn.2	uc004cym.2	False	False	False	False	False
6799	SULT1A2	uc002dqh.1	uc002dqg.1	False	False	False	False	False
56124	PCDHB12	uc003liz.2	uc011dak.1	True	True	True	True	True
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
274	BIN1	uc002tob.1	uc002toa.1	False	False	True	True	True
275	AMT	uc003cww.2	uc011bcq.1	True	False	False	False	False
55839	CENPN	uc002ffx.2	uc010vnl.1	False	False	False	True	False
55839	CENPN	uc002ffx.2	uc010vnm.1	False	False	False	False	False
254013	C12orf72	uc001rkm.2	uc009zjr.2	False	False	False	False	False
254013	C12orf72	uc001rkl.2	uc009zjr.2	False	False	False	False	False
10742	RAI2	uc004cyg.2	uc010nfa.2	False	False	False	False	False
117854	TRIM6	uc001mbd.2	uc001mbg.1	True	True	True	False	True
117854	TRIM6	uc001mbd.2	uc001mbc.1	False	False	True	False	False
116841	SNAP47	uc001hrf.2	uc001hra.2	False	False	True	True	True
116841	SNAP47	uc001hrf.2	uc001hrd.2	False	False	True	True	True
146433	IL34	uc002ezh.1	uc002ezi.1	False	False	False	False	False
84525	HOPX	uc003hcb.2	uc003hbz.2	False	False	False	False	False
84525	HOPX	uc003hcb.2	uc011cad.1	False	False	False	False	False
157695	C8orf42	uc003wpd.2	uc011kwg.1	False	False	True	False	False
84529	C15orf41	uc001zjd.2	uc001zje.3	False	False	False	False	False
56889	TM9SF3	uc010qot.1	uc001kmm.3	False	False	False	False	False
56889	TM9SF3	uc001kmm.3	uc010qot.1	False	False	False	False	False
152098	ZCWPW2	uc003cei.2	uc003ceh.2	False	False	False	False	False
2886	GRB7	uc002hsr.2	uc002hss.2	False	False	False	False	False
2886	GRB7	uc002hsr.2	uc010cwc.2	False	False	False	False	False
2887	GRB10	uc003tpi.2	uc003tpj.2	False	True	False	False	True
2885	GRB2	uc002jnx.3	uc002jny.3	True	True	False	False	True
2889	RAPGEF1	uc004cbc.2	uc004cbb.2	False	False	True	True	False
9988	DMTF1	uc003uih.2	uc011khb.1	False	False	True	True	False
26520	TIMM9	uc001xds.2	uc010api.2	False	False	False	False	False
26520	TIMM9	uc001xds.2	uc010aph.2	False	False	False	False	False
6776	STAT5A	uc002hzj.1	uc010cyc.1	True	False	False	False	False
9960	USP3	uc002amf.2	uc010uij.1	True	False	True	False	True
5981	RFC1	uc003gty.1	uc003gtx.1	False	False	False	False	False
5981	RFC1	uc003gtx.1	uc003gty.1	False	False	False	False	False
55812	SPATA7	uc001xwq.2	uc001xwr.2	False	False	False	False	False
84225	ZMYND15	uc002fyv.2	uc002fyu.2	False	False	False	False	False
7581	ZNF33A	uc001izg.2	uc001izh.2	False	False	False	False	False
57085	AGTRAP	uc001asv.2	uc001asx.2	False	True	True	True	True
57085	AGTRAP	uc001asw.2	uc001asx.2	False	True	True	True	True
10398	MYL9	uc002xfl.1	uc002xfm.1	True	True	True	True	True
57088	PLSCR4	uc003evt.3	uc003evu.3	False	False	True	True	True
57088	PLSCR4	uc010huy.2	uc003evu.3	False	False	True	True	True
55830	GLT8D1	uc003dfl.2	uc003dfj.2	False	False	False	False	False
6204	RPS10	uc003ojn.2	uc003ojm.2	False	False	False	False	False
55317	C20orf29	uc002wju.1	uc002wjs.1	False	False	False	False	False
55643	BTBD2	uc002lup.1	uc002luo.1	True	True	True	True	True
55646	LYAR	uc003ght.2	uc011bvy.1	False	False	False	False	False
5866	RAB3IL1	uc001nso.2	uc001nsp.2	False	False	True	True	False
5862	RAB2A	uc003xud.1	uc011lef.1	True	False	False	False	True
2182	ACSL4	uc004eok.2	uc004eoj.2	False	False	False	False	False
2180	ACSL1	uc003iwu.1	uc003iwt.1	False	False	False	False	False
23266	LPHN2	uc001dit.3	uc001diu.2	False	False	False	False	False
132660	LIN54	uc003hnz.3	uc010ijv.2	False	False	False	False	False
132660	LIN54	uc003hnz.3	uc003hny.3	False	False	True	True	False
132660	LIN54	uc003hnx.3	uc010ijv.2	False	False	True	True	False
132660	LIN54	uc003hnz.3	uc010iju.2	False	False	True	True	False
256435	ST6GALNAC3	uc001dhh.2	uc001dhg.3	False	False	True	False	False
57476	GRAMD1B	uc010rzx.1	uc001pyy.2	False	True	True	True	False
57476	GRAMD1B	uc010rzx.1	uc001pyx.2	False	False	True	True	False
128853	DUSP15	uc002www.1	uc002wwx.1	True	True	False	False	True
128853	DUSP15	uc002www.1	uc002wwv.1	False	False	False	False	False
6778	STAT6	uc001sna.2	uc010srd.1	False	True	True	True	False
6812	STXBP1	uc004brl.2	uc004brk.2	False	False	True	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxb.2	False	False	False	False	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10574	CCT7	uc002siz.2	uc010yri.1	True	False	True	False	False
10575	CCT4	uc002sbo.2	uc010yps.1	True	False	False	False	False
24146	CLDN15	uc003uyh.1	uc003uyg.1	False	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
24148	PRPF6	uc002yho.2	uc002yhp.2	False	False	False	False	False
8848	TSC22D1	uc001uzm.3	uc001uzn.3	False	False	True	True	True
8842	PROM1	uc003goq.3	uc003gou.2	False	False	True	False	False
57669	EPB41L5	uc010flk.2	uc010fll.2	False	False	True	True	False
51107	APH1A	uc001etz.1	uc010pbx.1	False	True	True	False	False
51100	SH3GLB1	uc001dlw.2	uc001dlz.2	False	False	False	False	False
63905	MANBAL	uc002xgu.2	uc002xgv.2	False	False	False	False	False
51109	RDH11	uc001xjv.3	uc001xjx.3	True	False	False	False	False
51109	RDH11	uc001xjv.3	uc001xjw.3	True	False	False	False	False
153129	SLC38A9	uc003jqf.2	uc003jqd.2	False	False	True	True	False
153129	SLC38A9	uc003jqf.2	uc010ivx.2	False	False	True	True	False
153129	SLC38A9	uc010ivx.2	uc003jqd.2	False	False	False	False	False
439921	MXRA7	uc002jsl.2	uc002jsk.1	False	False	True	True	False
439921	MXRA7	uc002jsm.2	uc002jsk.1	False	False	True	True	False
439921	MXRA7	uc002jsl.2	uc002jsm.2	False	False	True	True	False
178	AGL	uc001dsi.1	uc001dsk.1	False	False	False	False	False
177	AGER	uc003oau.1	uc003oat.1	True	False	True	False	False
80108	ZFP2	uc003mjn.1	uc010jkx.1	False	False	False	False	False
80108	ZFP2	uc003mjn.1	uc010jky.2	False	False	False	False	False
388115	C15orf52	uc001zlh.3	uc010ucn.1	False	False	True	True	False
51112	TTC15	uc002qxm.1	uc002qxn.1	False	False	False	False	False
7565	ZNF17	uc002qop.1	uc002qoo.1	False	False	False	False	False
55101	ATP5SL	uc002oqw.1	uc002oqz.1	False	False	True	False	False
55106	SLFN12	uc002hji.3	uc010cts.2	False	False	False	False	False
55105	GPATCH2	uc001hlg.3	uc001hlf.1	False	True	True	True	True
170685	NUDT10	uc004dpi.3	uc004dph.2	False	False	False	False	False
55108	BSDC1	uc001bvh.3	uc010ohi.1	False	False	True	True	False
55069	C7orf42	uc003tvl.2	uc003tvk.2	False	False	False	False	False
9500	MAGED1	uc004dpo.2	uc004dpm.2	False	False	False	False	False
25953	PNKD	uc002vhm.1	uc002vhq.2	True	True	True	True	False
84108	PCGF6	uc001kwt.2	uc001kwu.2	True	False	True	False	False
113178	SCAMP4	uc002luj.2	uc002luk.2	False	False	False	False	False
64927	TTC23	uc002buz.2	uc002bux.2	False	True	True	True	False
22818	COPZ1	uc001sfs.1	uc001sft.2	False	False	True	False	False
5050	PAFAH1B3	uc002otg.2	uc010xwj.1	False	False	False	False	False
23516	SLC39A14	uc003xbq.3	uc003xbp.3	False	False	False	False	False
23516	SLC39A14	uc003xbp.3	uc003xbq.3	False	False	False	False	False
124446	TMEM219	uc010bzk.1	uc002duy.2	False	False	False	False	False
5228	PGF	uc001xqz.2	uc001xrb.2	False	False	True	False	False
10868	USP20	uc004bys.2	uc004byt.1	False	False	False	False	False
84722	PSRC1	uc001dxc.2	uc001dxe.2	False	False	False	False	False
11119	BTN3A1	uc003nhv.2	uc011dkk.1	True	True	False	False	True
11118	BTN3A2	uc003nhp.2	uc011dke.1	False	False	True	False	False
11118	BTN3A2	uc011dkd.1	uc011dke.1	True	False	True	False	False
8353	HIST1H3E	uc003nhb.2	uc003nhc.3	False	False	False	False	False
27000	DNAJC2	uc003vbo.2	uc010lix.2	False	False	True	True	False
55789	DEPDC1B	uc003jsh.2	uc011cqm.1	False	False	False	False	False
55786	ZNF415	uc002qav.2	uc002qba.2	True	False	True	True	False
55787	TXLNG	uc004cxq.1	uc010ney.1	False	False	True	True	False
55780	C6orf70	uc003qxg.1	uc011ehb.1	False	False	False	False	False
55783	FTSJD1	uc010cga.2	uc002ezz.3	False	False	False	False	False
55783	FTSJD1	uc002ezy.3	uc002ezz.3	False	False	False	False	False
10978	CLP1	uc001nkw.2	uc009yml.2	False	False	False	False	False
10978	CLP1	uc001nkw.2	uc010rjw.1	False	False	False	False	False
6757	SSX2	uc004dqz.1	uc004dqy.1	False	True	True	True	False
285362	SUMF1	uc003bpz.1	uc011ass.1	True	False	False	False	False
8863	PER3	uc001aop.2	uc001aoo.2	False	False	True	True	False
8861	LDB1	uc009xwz.2	uc001kul.3	False	False	True	True	False
9748	SLK	uc001kxo.1	uc001kxp.1	False	False	True	False	False
813	CALU	uc003vnq.2	uc003vns.2	True	False	False	False	False
813	CALU	uc003vns.2	uc003vnq.2	True	False	False	False	False
816	CAMK2B	uc003tku.2	uc003tkw.2	True	False	True	False	False
816	CAMK2B	uc003tku.2	uc010kyc.2	True	False	True	True	False
817	CAMK2D	uc003ibk.2	uc003ibj.2	False	False	False	False	False
817	CAMK2D	uc003ibj.2	uc003ibk.2	False	False	False	False	False
80833	APOL3	uc003aos.2	uc003aot.2	False	False	True	False	False
5265	SERPINA1	uc001ycz.3	uc010ava.2	False	False	False	False	False
5265	SERPINA1	uc001ycz.3	uc001ycx.3	False	False	False	False	False
5265	SERPINA1	uc001yda.1	uc010auy.2	True	False	True	False	False
5265	SERPINA1	uc001ycz.3	uc001ycy.3	False	False	False	False	False
5265	SERPINA1	uc001ycy.3	uc010ava.2	False	False	False	False	False
5265	SERPINA1	uc001yda.1	uc001ycx.3	True	False	True	False	False
6185	RPN2	uc002xgp.2	uc002xgq.2	False	False	True	False	False
6183	MRPS12	uc002okc.2	uc002okd.2	False	False	False	False	False
6181	RPLP2	uc001lrq.1	uc001lrr.1	False	False	False	False	False
6188	RPS3	uc001owh.2	uc001owi.2	False	False	False	False	False
199777	ZNF626	uc002npb.1	uc002npc.1	False	True	False	False	True
199777	ZNF626	uc002npd.1	uc002npc.1	True	True	True	True	True
9197	SLC33A1	uc003fao.1	uc003fan.3	False	False	False	False	False
80381	CD276	uc002avv.1	uc002avw.1	True	True	True	True	True
4291	MLF1	uc003fca.2	uc003fcb.2	False	False	True	True	False
4291	MLF1	uc003fcb.2	uc003fca.2	False	False	True	True	False
4293	MAP3K9	uc001xmm.2	uc001xml.2	False	False	False	True	False
4292	MLH1	uc003cgl.2	uc011ayb.1	True	True	True	True	False
4292	MLH1	uc003cgl.2	uc011ayd.1	True	True	True	True	False
23383	KIAA0892	uc002nmk.3	uc010ecd.2	False	False	False	False	True
23383	KIAA0892	uc002nmk.3	uc010ece.2	False	False	True	False	True
23384	CYTSA	uc002zzw.2	uc011ajq.1	False	True	False	True	False
23384	CYTSA	uc002zzv.3	uc011ajq.1	False	True	False	True	False
55683	KIAA1310	uc002swn.3	uc002swh.3	False	False	True	True	False
5564	PRKAB1	uc001txg.2	uc009zwu.2	False	False	False	False	False
10560	SLC19A2	uc001gge.3	uc001ggf.3	False	False	True	False	False
122953	JDP2	uc001xrq.2	uc010tvc.1	False	False	True	True	False
6235	RPS29	uc001wwm.2	uc001wwl.2	False	False	False	False	False
6236	RRAD	uc002eqo.2	uc002eqn.2	False	False	False	False	False
6236	RRAD	uc002eqn.2	uc002eqo.2	False	False	False	False	False
6233	RPS27A	uc002ryk.2	uc010yow.1	False	False	False	False	False
