Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
9202	ZMYM4	uc009vuu.2	uc001byu.2	False	False	True	True	False
9202	ZMYM4	uc001byt.2	uc001byu.2	False	False	True	True	False
6792	CDKL5	uc004cyn.2	uc004cym.2	False	False	False	False	False
6792	CDKL5	uc004cym.2	uc004cyn.2	False	False	False	False	False
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
4641	MYO1C	uc002fsn.2	uc002fsp.2	False	False	True	False	False
23309	SIN3B	uc002nez.1	uc002new.2	False	True	True	True	True
23309	SIN3B	uc002nez.1	uc002ney.1	False	True	False	False	False
55839	CENPN	uc002ffx.2	uc002ffw.3	False	False	True	True	False
55839	CENPN	uc002ffx.2	uc010vnm.1	False	False	False	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
63027	SLC22A23	uc003mvm.3	uc010jno.2	False	False	True	False	False
63027	SLC22A23	uc003mvm.3	uc003mvo.3	False	False	True	True	True
8548	BLZF1	uc001gfx.1	uc001gfy.2	False	False	False	False	False
8548	BLZF1	uc001gfx.1	uc001gfw.2	False	True	True	True	False
8545	CGGBP1	uc003dqt.2	uc003dqu.2	False	False	False	False	False
375056	MIA3	uc001hnl.2	uc001hnm.2	True	True	True	True	False
123036	TC2N	uc001xzu.3	uc001xzv.3	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc010auc.2	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc001xzt.3	False	False	False	False	False
123036	TC2N	uc010auc.2	uc001xzu.3	False	False	False	False	False
123036	TC2N	uc001xzt.3	uc010auc.2	False	False	False	False	False
4848	CNOT2	uc009zro.2	uc001svv.2	False	False	False	False	False
65083	NOL6	uc003zsz.2	uc010mjv.2	False	False	False	False	False
55337	C19orf66	uc002mmu.3	uc002mmw.3	False	False	True	True	False
55336	FBXL8	uc002erk.1	uc002erj.1	False	False	False	False	False
390980	ZNF805	uc010ygt.1	uc010ygu.1	False	True	True	True	True
6210	RPS15A	uc002dfi.1	uc002dfh.1	False	False	False	False	False
6218	RPS17	uc002bhr.1	uc002bio.1	False	False	True	True	False
6815	STYX	uc001xaa.2	uc010tqy.1	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqk.2	False	False	False	False	False
6817	SULT1A1	uc002dql.2	uc002dqi.2	False	False	False	False	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10576	CCT2	uc001svb.1	uc010stl.1	True	False	False	False	False
394	ARHGAP5	uc001wrl.2	uc001wro.2	True	True	True	True	True
394	ARHGAP5	uc001wrl.2	uc001wrp.2	True	True	True	True	True
394	ARHGAP5	uc001wrm.2	uc001wro.2	True	True	True	True	True
201134	CCDC46	uc002jfm.2	uc002jfk.2	False	True	True	True	False
159090	FAM122B	uc004exs.2	uc004ext.2	False	False	True	True	True
2305	FOXM1	uc001qlf.2	uc001qlg.2	True	False	True	False	False
11282	MGAT4B	uc003mks.2	uc003mkr.2	False	False	True	True	False
3749	KCNC4	uc001dzh.2	uc001dzf.2	True	False	True	True	False
57661	PHRF1	uc001lqe.2	uc010qwc.1	False	False	True	False	False
51107	APH1A	uc001etz.1	uc010pbx.1	False	True	True	False	False
51102	MECR	uc001brq.1	uc001brp.1	True	False	False	True	False
126003	TRAPPC5	uc002mhi.1	uc002mhk.1	False	False	False	False	False
126003	TRAPPC5	uc002mhi.1	uc002mhj.1	False	False	False	False	False
95	ACY1	uc003dcp.2	uc003dcq.2	False	False	False	False	False
5271	SERPINB8	uc002lju.2	uc002ljv.2	False	False	False	False	False
5271	SERPINB8	uc002ljv.2	uc002lju.2	False	False	False	False	False
29767	TMOD2	uc002abk.2	uc002abl.3	True	False	False	False	False
51321	AMZ2	uc002jgv.1	uc002jgs.1	False	False	False	False	False
64795	RMND5A	uc002srr.2	uc010ytm.1	False	False	False	False	False
64794	DDX31	uc004cbq.1	uc010mzu.1	True	False	False	False	False
64794	DDX31	uc004cbq.1	uc004cbs.1	True	True	True	True	True
64793	CCDC21	uc001blr.2	uc001blt.1	False	False	True	True	False
56647	BCCIP	uc001ljb.3	uc001ljc.3	False	False	True	True	False
56647	BCCIP	uc001ljb.3	uc001ljd.3	False	False	True	True	False
79991	OBFC1	uc001kxm.2	uc001kxl.2	False	False	False	False	False
29101	SSU72	uc001agd.2	uc001age.1	False	False	True	True	False
84283	TMEM79	uc009wrw.2	uc010phi.1	False	False	False	False	False
84283	TMEM79	uc010phi.1	uc009wrw.2	False	False	False	False	False
51148	CERCAM	uc004buz.3	uc010mxz.2	False	True	False	False	False
7186	TRAF2	uc004cjv.2	uc010nbw.2	False	False	False	False	True
7186	TRAF2	uc004cjv.2	uc010nbu.2	False	False	False	False	False
7186	TRAF2	uc004cjv.2	uc011mek.1	True	True	False	False	True
89927	C16orf45	uc002ddo.2	uc002ddp.2	False	False	True	False	False
1398	CRK	uc002fsl.2	uc002fsm.2	True	True	True	True	False
8500	PPFIA1	uc001opo.2	uc001opn.1	False	False	True	True	False
8507	ENC1	uc003kdc.3	uc011css.1	True	False	True	False	True
79573	TTC13	uc001huf.3	uc001hug.3	True	False	False	False	False
152098	ZCWPW2	uc003cei.2	uc003ceh.2	False	False	False	False	False
2886	GRB7	uc002hsr.2	uc002hss.2	False	False	False	False	False
2885	GRB2	uc002jnx.3	uc002jny.3	True	True	False	False	True
23019	CNOT1	uc002env.2	uc002enx.2	False	True	True	True	False
9988	DMTF1	uc003uih.2	uc011khb.1	False	False	True	True	False
6776	STAT5A	uc002hzj.1	uc010cyc.1	True	False	False	False	False
92745	SLC38A5	uc010nid.2	uc004djk.3	False	False	True	False	False
5981	RFC1	uc003gty.1	uc003gtx.1	False	False	False	False	False
55810	FOXJ2	uc001qtu.2	uc001qtt.1	False	False	True	True	False
84225	ZMYND15	uc002fyv.2	uc002fyt.2	False	False	False	False	False
7581	ZNF33A	uc001izg.2	uc001izh.2	False	False	False	False	False
6633	SNRPD2	uc002pcw.2	uc002pcv.2	False	False	True	True	False
29903	CCDC106	uc002qls.2	uc002qlr.2	False	False	False	False	False
112950	MED8	uc001cjg.3	uc001cjf.3	False	False	True	True	False
112950	MED8	uc001cje.1	uc001cjf.3	False	False	True	True	False
10518	CIB2	uc002bdb.1	uc002bdc.1	True	False	True	False	False
9778	KIAA0232	uc003gjq.3	uc003gjr.3	False	False	False	False	False
152273	FGD5	uc003bzc.2	uc003bzd.2	True	False	True	True	True
